task_id,sequence,codec,reference_gap,target_index,base_method,keep_fraction,side_bits,keep_gaussians,fixed_payload_bytes,entropy_payload_bytes,fixed_mib_per_intermediate_frame,entropy_mib_per_intermediate_frame,entropy_ratio_vs_fixed,entropy_savings_bytes_vs_fixed,entropy_header_bytes,metadata_zlib_bytes,delta_zlib_bytes,residual_zlib_bytes,decoded_max_abs_diff_vs_fixed,base_psnr,entropy_psnr,delta_psnr_vs_base
stage79_00026653,horsejump-high,q12,4,33,linear,0.1,6,3686,43381,30821,0.04137134552001953,0.02939319610595703,0.7104723265945921,12560,30,50,2579,28162,0.0,16.875277150497286,21.05121858181027,4.175941431312985
stage79_00026653,horsejump-high,q12,4,33,stage65_adapter,0.1,6,3686,43381,36003,0.04137134552001953,0.03433513641357422,0.8299255434406768,7378,30,61,2619,33293,0.0,17.46123056698038,21.53348306197575,4.072252494995372
stage79_00021916,bmx-trees,q12,4,19,linear,0.1,6,3686,43381,30799,0.04137134552001953,0.029372215270996094,0.7099651921348056,12582,30,50,2324,28395,0.0,17.279025530927047,19.90913335363921,2.630107822712162
stage79_00021916,bmx-trees,q12,4,19,stage65_adapter,0.1,6,3686,43381,35786,0.04137134552001953,0.03412818908691406,0.8249233535418732,7595,30,61,2518,33177,0.0,17.578954941088917,20.338460621984062,2.7595056808951455
stage79_00024712,dog,q12,4,43,linear,0.1,6,3686,43381,29550,0.04137134552001953,0.028181076049804688,0.6811737857587423,13831,30,48,2867,26605,0.0,20.53805029396205,23.32473682035037,2.786686526388319
stage79_00024712,dog,q12,4,43,stage65_adapter,0.1,6,3686,43381,35621,0.04137134552001953,0.03397083282470703,0.8211198450934741,7760,30,61,2846,32684,0.0,21.072739644762603,23.525240029099173,2.4525003843365702
stage79_00030546,shooting,q12,8,7,linear,0.1,6,3686,43381,28750,0.04137134552001953,0.027418136596679688,0.6627325326755953,14631,30,50,2148,26522,0.0,14.763290193567878,17.809438833579,3.0461486400111237
stage79_00030546,shooting,q12,8,7,stage65_adapter,0.1,6,3686,43381,34557,0.04137134552001953,0.03295612335205078,0.7965929784928886,8824,30,61,2437,32029,0.0,14.988937839906033,18.109432357826535,3.120494517920502
stage79_00027692,lab-coat,q12,4,5,linear,0.1,6,3686,43381,30356,0.04137134552001953,0.028949737548828125,0.6997533482400129,13025,30,50,2705,27571,0.0,20.448424880546852,23.173714012167896,2.725289131621043
stage79_00027692,lab-coat,q12,4,5,stage65_adapter,0.1,6,3686,43381,35944,0.04137134552001953,0.03427886962890625,0.8285655010257947,7437,30,63,2765,33086,0.0,21.301906574352323,23.27369953353671,1.9717929591843877
stage79_00028005,libby,q12,8,46,linear,0.1,6,3686,43381,31928,0.04137134552001953,0.03044891357421875,0.7359904105483968,11453,30,50,2764,29084,0.0,17.327627689458357,20.094573889379184,2.7669461999208274
stage79_00028005,libby,q12,8,46,stage65_adapter,0.1,6,3686,43381,36696,0.04137134552001953,0.03499603271484375,0.8459002789239529,6685,30,61,2809,33796,0.0,17.81814566143623,20.780154939953054,2.962009278516824
stage79_00025976,goat,q12,8,26,linear,0.1,6,3686,43381,30463,0.04137134552001953,0.029051780700683594,0.7022198658398838,12918,30,51,3056,27326,0.0,18.144792738356976,20.427101310749123,2.2823085723921466
stage79_00025976,goat,q12,8,26,stage65_adapter,0.1,6,3686,43381,36105,0.04137134552001953,0.034432411193847656,0.8322768032087781,7276,30,61,3057,32957,0.0,18.96609356778124,20.880512411673344,1.9144188438921041
stage79_00030897,soapbox,q12,4,51,linear,0.1,6,3686,43381,30811,0.04137134552001953,0.02938365936279297,0.7102418109310528,12570,30,48,2620,28113,0.0,17.094012744571607,20.798804158190244,3.7047914136186364
stage79_00030897,soapbox,q12,4,51,stage65_adapter,0.1,6,3686,43381,36266,0.04137134552001953,0.03458595275878906,0.8359881053917614,7115,30,61,2707,33468,0.0,17.679389852218268,21.145495853569194,3.4661060013509264
stage79_00027451,kite-surf,q12,4,3,linear,0.1,6,3686,43381,30769,0.04137134552001953,0.029343605041503906,0.7092736451441876,12612,30,50,2363,28326,0.0,22.39457379877487,25.821341283756574,3.4267674849817027
stage79_00027451,kite-surf,q12,4,3,stage65_adapter,0.1,6,3686,43381,35332,0.04137134552001953,0.033695220947265625,0.8144579424171873,8049,30,63,2441,32798,0.0,23.107318807106985,26.254191690673217,3.146872883566232
stage79_00028233,loading,q12,8,26,linear,0.1,6,3686,43381,30935,0.04137134552001953,0.029501914978027344,0.7131002051589406,12446,30,50,2594,28261,0.0,18.16014686419028,21.498551059354384,3.3384041951641024
stage79_00028233,loading,q12,8,26,stage65_adapter,0.1,6,3686,43381,36074,0.04137134552001953,0.03440284729003906,0.8315622046518061,7307,30,61,2638,33345,0.0,18.810440126282707,21.651042709390925,2.8406025831082182
stage79_00023463,car-shadow,q12,4,14,linear,0.1,6,3686,43381,30105,0.04137134552001953,0.028710365295410156,0.6939674050851755,13276,30,50,2319,27706,0.0,18.24622603313783,22.35955461376951,4.113328580631681
