task_id,sequence,gap,left_index,target_index,right_index,normalized_time,vote_count,selector_score,selected_for_extra_keyframe,hard_quality_label,high_payload_label,stage158_psnr,stage158_lpips,payload_bytes,rgb_motion_proxy_score,rgb_mad_linear_interp_target,rgb_mad_left_right,edge_mad_left_right,hist_chi_left_right
stage79_00025313,drift-chicane,4,32,35,36,0.75,1,1.1899159663865546,1,0,0,30.389364799075622,0.17147435247898102,108987.0,0.0445543840909243,0.007604577578604221,0.022238075733184814,0.03785588964819908,0.04050253340840672
stage79_00029561,parkour,4,12,15,16,0.75,0,0.45546218487394957,0,0,1,29.319853135921633,0.1671568751335144,223015.0,0.23138119426581746,0.06284666061401367,0.09812621772289276,0.23146972060203552,0.009187829706554462
stage79_00030550,shooting,8,8,12,16,0.5,4,4.885714285714285,1,1,1,32.64275504495283,0.28768661618232727,249775.0,0.4641658204037534,0.15949028730392456,0.2297636717557907,0.2757672965526581,0.22868128854619338
stage79_00028203,loading,4,36,38,40,0.5,5,5.821848739495798,1,0,1,28.567645108349154,0.15502038598060608,242922.0,0.39702665129393616,0.11741497367620468,0.17891104519367218,0.3674483597278595,0.014506349057238521
stage79_00026641,horsejump-high,4,16,17,20,0.25,0,0.3747899159663865,0,0,0,27.987254418074862,0.16101130843162537,200519.0,0.22160326805237074,0.06166814640164375,0.09053295850753784,0.23411925137043,0.003070500019330834
stage79_00023210,car-roundabout,4,56,59,60,0.75,4,4.761344537815126,1,1,1,25.98485821152527,0.1529761403799057,224613.0,0.36828292595724454,0.09137581288814545,0.1584172546863556,0.37294819951057434,0.013510944823613896
stage79_00025890,goat,4,0,3,4,0.75,4,4.734453781512605,1,0,1,27.28856003850924,0.1755366176366806,251325.0,0.36929715686216674,0.11942769587039948,0.15633517503738403,0.33800840377807617,0.005506240501722994
stage79_00025566,drift-straight,4,36,37,40,0.25,5,5.907563025210084,1,0,1,32.031672211797314,0.14438967406749725,251138.0,0.4724603682624792,0.14523658156394958,0.2226487398147583,0.33139321208000183,0.07913574444746255
stage79_00023498,car-shadow,8,16,19,24,0.375,2,2.6554621848739495,1,0,1,29.513743105845474,0.15957248210906982,228595.0,0.2809358689068854,0.08228799700737,0.1170586496591568,0.2849361300468445,0.0514965790420741
stage79_00027276,judo,8,8,10,16,0.25,0,0.10252100840336134,0,0,0,31.641427055974383,0.15146984159946442,107615.0,0.0575918056756138,0.013328606262803078,0.02549784444272518,0.05209312587976456,0.004246688781968302
stage79_00025006,dogs-jump,4,16,17,20,0.25,0,0.18319327731092436,0,0,0,31.45997573412123,0.2046082317829132,139790.0,0.10390034418113256,0.02107158675789833,0.04881848022341728,0.09756585210561752,0.0055138091814758905
stage79_00026998,india,4,52,55,56,0.75,2,2.638655462184874,1,0,1,33.84819074179289,0.13918063044548035,221399.0,0.30966028945198687,0.07931586354970932,0.1508583426475525,0.20194867253303528,0.06523057972494066
stage79_00025330,drift-chicane,8,0,6,8,0.75,1,1.1966386554621848,1,0,0,30.261442307228403,0.18118873238563538,124854.0,0.053007279304963364,0.01172559428960085,0.026053432375192642,0.04053056240081787,0.0311993776065125
stage79_00028811,motocross-jump,4,20,22,24,0.5,4,4.904201680672269,1,1,1,30.119209546194526,0.33573687076568604,253183.0,0.553775689677902,0.19889284670352936,0.2829535901546478,0.2526096701622009,0.3203041033454726
