schedule,sequence,total_frames,keyframe_count,residual_count,keyframe_bitstream_bytes,keyframe_mib_per_frame,residual_payload_bytes,residual_mib_per_frame,total_payload_bytes_without_global_metadata,total_mib_per_frame_without_global_metadata
uniform_gap8,horsejump-high,50,8,42,5756171.0,0.10979024887084961,9090250.0,0.17338275909423828,14846421.0,0.2831730079650879
uniform_gap8,india,81,11,70,7914630.0,0.0931849303068938,16143574.0,0.19007051726918162,24058204.0,0.2832554475760754
uniform_gap8,judo,34,6,28,4317160.0,0.1210930768181296,3246793.0,0.09107009102316464,7563953.0,0.21216316784129424
uniform_gap8,kite-surf,50,8,42,5756170.0,0.10979022979736328,9320087.0,0.17776655197143554,15076257.0,0.28755678176879884
uniform_gap8,lab-coat,47,7,40,5036626.0,0.1021978905860414,9209107.0,0.18686146431780876,14245733.0,0.28905935490385015
uniform_gap8,libby,49,7,42,5036665.0,0.09802730716004664,10734050.0,0.20891403665347974,15770715.0,0.3069413438135264
uniform_gap8,loading,50,8,42,5756181.0,0.10979043960571289,9902635.0,0.18887777328491212,15658816.0,0.298668212890625
uniform_gap8,mbike-trick,79,11,68,7914688.0,0.09554474263251582,12460471.0,0.1504206476332266,20375159.0,0.24596539026574243
uniform_gap8,motocross-jump,40,6,34,4317148.0,0.10292882919311523,7953954.0,0.18963704109191895,12271102.0,0.29256587028503417
uniform_gap8,paragliding-launch,80,11,69,7914625.0,0.0943496823310852,14943142.0,0.17813613414764404,22857767.0,0.27248581647872927
uniform_gap8,parkour,100,14,86,10073183.0,0.09606535911560059,19783365.0,0.18866887092590331,29856548.0,0.2847342300415039
uniform_gap8,pigs,79,11,68,7914606.0,0.09554375274271905,13403705.0,0.1618072051036207,21318311.0,0.25735095784633977
uniform_gap8,scooter-black,43,7,36,5036664.0,0.11170551388762719,8525013.0,0.18907176616579988,13561677.0,0.3007772800534271
uniform_gap8,shooting,40,6,34,4317187.0,0.10292975902557373,8115689.0,0.19349310398101807,12432876.0,0.2964228630065918
uniform_gap8,soapbox,99,14,85,10073200.0,0.09703588004064079,19917264.0,0.19186447605942236,29990464.0,0.28890035610006315
