target_key,category,sequence,target_index,schedule,final_type,row_source,psnr,ssim,ms_ssim,lpips,payload_bytes,status_note
dance-twirl:00068,positive_promoted_extension,dance-twirl,68,uniform_gap4,q12_target_keyframe,stage174_keyframe_marker,27.017210746533372,0.8219904899597168,0.983790934085846,0.22935819625854492,0.0,Target is transmitted as q12 keyframe; PSNR is keyframe render quality
dance-twirl:00082,positive_promoted_extension,dance-twirl,82,uniform_gap8,middle_recovery,stage174_rendered,27.54126416196803,0.8415862917900085,0.9825935363769531,0.2156399041414261,220569.0,Stage174 rendered/reused middle recovery
dance-twirl:00082,positive_promoted_extension,dance-twirl,82,stage165_adaptive,q12_target_keyframe,stage174_keyframe_marker,27.903029205020676,0.8582615852355957,0.9872617125511169,0.18091200292110443,0.0,Target is transmitted as q12 keyframe; PSNR is keyframe render quality
dance-twirl:00082,positive_promoted_extension,dance-twirl,82,uniform_gap4,middle_recovery,stage174_rendered,27.389016543533767,0.8342739939689636,0.9815340638160706,0.2247844934463501,215387.0,Stage174 rendered/reused middle recovery
dog:00006,high_payload_residual_control,dog,6,uniform_gap8,middle_recovery,stage170,31.70441138775616,0.8999980092048645,0.9888197183609009,0.13781623542308807,231368.0,Stage174 rendered/reused middle recovery
dog:00006,high_payload_residual_control,dog,6,stage165_adaptive,middle_recovery,stage170,31.79914914562881,0.9031074643135071,0.9892780184745789,0.13357289135456085,237480.0,Stage174 rendered/reused middle recovery
dog:00006,high_payload_residual_control,dog,6,uniform_gap4,middle_recovery,stage170,31.48631829272292,0.8931205868721008,0.9878554344177246,0.15496239066123962,233064.0,Stage174 rendered/reused middle recovery
dog:00017,high_payload_residual_control,dog,17,uniform_gap8,middle_recovery,stage170,30.338584311034364,0.8840034008026123,0.9879853129386902,0.16765959560871124,234327.0,Stage174 rendered/reused middle recovery
dog:00017,high_payload_residual_control,dog,17,stage165_adaptive,middle_recovery,stage170,30.338584311034364,0.8840034008026123,0.9879853129386902,0.16765959560871124,234327.0,Stage174 rendered/reused middle recovery
dog:00017,high_payload_residual_control,dog,17,uniform_gap4,middle_recovery,stage170,30.263989567847865,0.8807784914970398,0.9875989556312561,0.1706315129995346,234218.0,Stage174 rendered/reused middle recovery
dogs-jump:00010,selector_false_positive_keyframe_control,dogs-jump,10,uniform_gap8,middle_recovery,stage174_rendered,31.59162098659429,0.8600298762321472,0.9806579351425171,0.181843563914299,155854.0,Stage174 rendered/reused middle recovery
dogs-jump:00010,selector_false_positive_keyframe_control,dogs-jump,10,stage165_adaptive,q12_target_keyframe,stage174_keyframe_marker,32.6332003134894,0.9007654786109924,0.9893344640731812,0.10117612779140472,0.0,Target is transmitted as q12 keyframe; PSNR is keyframe render quality
dogs-jump:00010,selector_false_positive_keyframe_control,dogs-jump,10,uniform_gap4,middle_recovery,stage174_rendered,31.87607084507757,0.8698728680610657,0.9823572635650635,0.17143702507019043,170048.0,Stage174 rendered/reused middle recovery
dogs-jump:00020,false_negative_residual,dogs-jump,20,uniform_gap8,middle_recovery,stage170,30.57019814002359,0.818131685256958,0.9752129912376404,0.2771647870540619,167862.0,Stage174 rendered/reused middle recovery
dogs-jump:00020,false_negative_residual,dogs-jump,20,stage165_adaptive,middle_recovery,stage170,30.57019814002359,0.818131685256958,0.9752129912376404,0.2771647870540619,167862.0,Stage174 rendered/reused middle recovery
dogs-jump:00020,false_negative_residual,dogs-jump,20,uniform_gap4,q12_target_keyframe,stage170,32.36904605217908,0.8962740302085876,0.9894211292266846,0.11103986948728561,0.0,Target is transmitted as q12 keyframe; PSNR is keyframe render quality
drift-chicane:00006,selector_false_positive_keyframe_control,drift-chicane,6,uniform_gap8,middle_recovery,stage174_rendered,30.261442307228403,0.8867740631103516,0.9868971705436707,0.18118873238563538,124854.0,Stage174 rendered/reused middle recovery
drift-chicane:00006,selector_false_positive_keyframe_control,drift-chicane,6,stage165_adaptive,q12_target_keyframe,stage174_keyframe_marker,30.426745929572135,0.8949971199035645,0.9898756742477417,0.15662918984889984,0.0,Target is transmitted as q12 keyframe; PSNR is keyframe render quality
drift-chicane:00006,selector_false_positive_keyframe_control,drift-chicane,6,uniform_gap4,middle_recovery,stage174_rendered,30.38820115093291,0.8858557343482971,0.9865443110466003,0.19082926213741302,128347.0,Stage174 rendered/reused middle recovery
drift-chicane:00035,selector_false_positive_keyframe_control,drift-chicane,35,uniform_gap8,middle_recovery,stage174_rendered,30.314249778415828,0.8816809058189392,0.9850721955299377,0.20931608974933624,136072.0,Stage174 rendered/reused middle recovery
drift-chicane:00035,selector_false_positive_keyframe_control,drift-chicane,35,stage165_adaptive,q12_target_keyframe,stage174_keyframe_marker,30.51404163443291,0.8991649746894836,0.9900827407836914,0.1570097804069519,0.0,Target is transmitted as q12 keyframe; PSNR is keyframe render quality
drift-chicane:00035,selector_false_positive_keyframe_control,drift-chicane,35,uniform_gap4,middle_recovery,stage174_rendered,30.389364799075622,0.8949095606803894,0.9875394701957703,0.17147435247898102,108987.0,Stage174 rendered/reused middle recovery
gold-fish:00002,normal_residual_control,gold-fish,2,uniform_gap8,middle_recovery,stage174_rendered,33.516296096969164,0.9070984721183777,0.9816491603851318,0.07747763395309448,213123.0,Stage174 rendered/reused middle recovery
gold-fish:00002,normal_residual_control,gold-fish,2,stage165_adaptive,middle_recovery,stage174_rendered,33.516296096969164,0.9070984721183777,0.9816491603851318,0.07747763395309448,213123.0,Stage174 rendered/reused middle recovery
gold-fish:00002,normal_residual_control,gold-fish,2,uniform_gap4,middle_recovery,stage174_rendered,33.491265520373915,0.9062957167625427,0.9815685749053955,0.07862904667854309,215749.0,Stage174 rendered/reused middle recovery
gold-fish:00049,normal_residual_control,gold-fish,49,uniform_gap8,middle_recovery,stage174_rendered,33.37035851948761,0.9073403477668762,0.9823495149612427,0.07448727637529373,184199.0,Stage174 rendered/reused middle recovery
gold-fish:00049,normal_residual_control,gold-fish,49,stage165_adaptive,middle_recovery,stage174_rendered,33.37035851948761,0.9073403477668762,0.9823495149612427,0.07448727637529373,184199.0,Stage174 rendered/reused middle recovery
gold-fish:00049,normal_residual_control,gold-fish,49,uniform_gap4,middle_recovery,stage174_rendered,33.35466764233975,0.9066658020019531,0.9822714328765869,0.07521992921829224,185164.0,Stage174 rendered/reused middle recovery
gold-fish:00055,normal_residual_control,gold-fish,55,uniform_gap8,middle_recovery,stage174_rendered,33.304551467092345,0.9056475758552551,0.982086718082428,0.07445908337831497,185201.0,Stage174 rendered/reused middle recovery
