sample,codec,bits,frame_gap,method,total_frames,keyframe_count,keyframe_ratio,static_anchor_mib,static_anchor_mib_with_metadata,static_anchor_mib_per_frame,static_anchor_mib_per_frame_with_metadata,all_psnr,middle_psnr,given_psnr,all_ssim,middle_ssim,given_ssim
DAVIS/val/soapbox,q8,8,8,linear,99,14,0.1414141414141414,0.45703125,0.4570808410644531,0.06463068181818182,0.06463769469598327,18.7365648659621,17.186663539967373,28.146680059501488,0.4019321311603893,0.3314520611482508,0.829846841948373
DAVIS/val/soapbox,q8,8,8,adapter,99,14,0.1414141414141414,0.45703125,0.4570808410644531,0.06463068181818182,0.06463769469598327,19.176595738107597,17.699170085172135,28.146680059501488,0.4518461019703836,0.3895871565622442,0.829846841948373
DAVIS/val/soapbox,q8,8,16,linear,99,8,0.08080808080808081,0.45703125,0.4570808410644531,0.036931818181818184,0.03693582554056187,16.727263429515755,15.71923469416203,28.19359029416438,0.334840039111147,0.29118618041604427,0.8314026817679405
DAVIS/val/soapbox,q8,8,16,adapter,99,8,0.08080808080808081,0.45703125,0.4570808410644531,0.036931818181818184,0.03693582554056187,17.089743502361333,16.113581147037987,28.19359029416438,0.3842097465137039,0.34489608187596876,0.8314026817679405
DAVIS/val/soapbox,q10,10,4,linear,99,26,0.26262626262626265,0.5712890625,0.5713386535644531,0.15003551136363635,0.15004853527955334,21.807930042739635,18.6795453446481,30.591471695073547,0.5371854777890023,0.4082889871238029,0.8990871631182157
DAVIS/val/soapbox,q10,10,4,adapter,99,26,0.26262626262626265,0.5712890625,0.5713386535644531,0.15003551136363635,0.15004853527955334,22.183686379140482,19.18913270497254,30.591471695073547,0.569226645761066,0.45174207793523186,0.8990871631182157
DAVIS/val/soapbox,q10,10,8,linear,99,14,0.1414141414141414,0.5712890625,0.5713386535644531,0.08078835227272728,0.08079536515052872,19.107710604425332,17.21751715097982,30.583885143201638,0.42444361656001117,0.3462888754466001,0.8989545447485787
DAVIS/val/soapbox,q10,10,8,adapter,99,14,0.1414141414141414,0.5712890625,0.5713386535644531,0.08078835227272728,0.08079536515052872,19.527658565160355,17.706633011130027,30.583885143201638,0.4646083956415003,0.3930690299062168,0.8989545447485787
DAVIS/val/soapbox,q10,10,16,linear,99,8,0.08080808080808081,0.5712890625,0.5713386535644531,0.04616477272727273,0.046168780086016416,16.93661694025721,15.731551565340881,30.64423557993046,0.351729669805729,0.30354945263364813,0.8997796401381493
DAVIS/val/soapbox,q10,10,16,adapter,99,8,0.08080808080808081,0.5712890625,0.5713386535644531,0.04616477272727273,0.046168780086016416,17.28633280540664,16.112011682371577,30.64423557993046,0.392054647959844,0.3474194838123007,0.8997796401381493
DAVIS/val/soapbox,q12,12,4,linear,99,26,0.26262626262626265,0.685546875,0.6855964660644531,0.18004261363636365,0.18005563755228063,21.910293074767036,18.687301797217817,30.95946089250136,0.5412986847487363,0.4104707988157664,0.9086231337143824
DAVIS/val/soapbox,q12,12,4,adapter,99,26,0.26262626262626265,0.685546875,0.6855964660644531,0.18004261363636365,0.18005563755228063,22.28105591968299,19.190117162240828,30.95946089250136,0.5718521304202803,0.4519062936306,0.9086231337143824
DAVIS/val/soapbox,q12,12,8,linear,99,14,0.1414141414141414,0.685546875,0.6855964660644531,0.09694602272727272,0.09695303560507418,19.16343748199777,17.222325986177065,30.94875727805205,0.4273951237249856,0.3481776570572573,0.908358314207622
DAVIS/val/soapbox,q12,12,8,adapter,99,14,0.1414141414141414,0.685546875,0.6855964660644531,0.09694602272727272,0.09695303560507418,19.57942759043899,17.706832112479198,30.94875727805205,0.46605617921761794,0.3932064158074996,0.908358314207622
DAVIS/val/soapbox,q12,12,16,linear,99,8,0.08080808080808081,0.685546875,0.6855964660644531,0.05539772727272727,0.05540173463147096,16.968683549567743,15.7344658170397,31.007910257074222,0.3539443803255004,0.30514615823279373,0.9090241566300392
DAVIS/val/soapbox,q12,12,16,adapter,99,8,0.08080808080808081,0.685546875,0.6855964660644531,0.05539772727272727,0.05540173463147096,17.31625244483136,16.112590219579243,31.007910257074222,0.39292170498708284,0.3475500608866031,0.9090241566300392
