base_method,codec,reference_gap,keep_fraction,side_bits,task_count,selector_policy,selected_candidate,zlib_level,mean_keep_gaussians,mean_raw_deterministic_payload_bytes,mean_compressed_deterministic_payload_bytes,mean_raw_deterministic_mib_per_intermediate_frame,mean_compressed_deterministic_mib_per_intermediate_frame,mean_compressed_savings_bytes_vs_raw,mean_compressed_ratio_vs_raw,mean_stage96_entropy_reference_bytes,mean_stage96_entropy_reference_mib_per_intermediate_frame,mean_compressed_minus_stage96_entropy_reference_bytes,mean_compressed_ratio_vs_stage96_entropy_reference,compressed_below_stage96_entropy_reference_count,max_decoded_max_abs_diff_vs_raw_deterministic,comparison_note
linear,q12,16,0.025,5,4,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,922.0,7562.0,6110.75,0.0072116851806640625,0.005827665328979492,1451.25,0.8080864850568632,30239.565217391304,0.028838696687117867,-24128.815217391304,0.20207797156043766,4,0.0,cross_setting_rate_only_quality_unknown
linear,q12,16,0.025,6,4,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,922.0,9060.0,7226.0,0.008640289306640625,0.0068912506103515625,1834.0,0.7975717439293598,30239.565217391304,0.028838696687117867,-23013.565217391304,0.238958462135699,4,0.0,cross_setting_rate_only_quality_unknown
linear,q12,16,0.025,8,4,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,922.0,12056.0,8822.25,0.01149749755859375,0.008413553237915039,3233.75,0.7317725613802256,30239.565217391304,0.028838696687117867,-21417.315217391304,0.2917452660637518,4,0.0,cross_setting_rate_only_quality_unknown
linear,q12,16,0.05,2,4,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,1843.0,6060.0,3186.5,0.005779266357421875,0.0030388832092285156,2873.5,0.5258250825082509,30239.565217391304,0.028838696687117867,-27053.065217391304,0.10537519230492733,4,0.0,cross_setting_rate_only_quality_unknown
linear,q12,16,0.05,3,4,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,1843.0,9055.0,6053.0,0.008635520935058594,0.005772590637207031,3002.0,0.6684704583103258,30239.565217391304,0.028838696687117867,-24186.565217391304,0.20016822188034677,4,0.0,cross_setting_rate_only_quality_unknown
linear,q12,16,0.05,4,4,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,1843.0,12050.0,7502.5,0.011491775512695312,0.007154941558837891,4547.5,0.6226141078838174,30239.565217391304,0.028838696687117867,-22737.065217391304,0.24810211211916436,4,0.0,cross_setting_rate_only_quality_unknown
linear,q12,16,0.05,5,4,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,1843.0,15045.0,11763.75,0.014348030090332031,0.011218786239624023,3281.25,0.7819042871385843,30239.565217391304,0.028838696687117867,-18475.815217391304,0.38901849002889966,4,0.0,cross_setting_rate_only_quality_unknown
linear,q12,16,0.05,6,4,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,1843.0,18040.0,13956.5,0.01720428466796875,0.013309955596923828,4083.5,0.7736419068736142,30239.565217391304,0.028838696687117867,-16283.065217391304,0.46153110666992564,4,0.0,cross_setting_rate_only_quality_unknown
linear,q12,16,0.05,8,4,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,1843.0,24029.0,17065.5,0.02291584014892578,0.01627492904663086,6963.5,0.7102043364268176,30239.565217391304,0.028838696687117867,-13174.065217391304,0.5643434314388003,4,0.0,cross_setting_rate_only_quality_unknown
linear,q12,16,0.1,2,4,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,3686.0,12050.0,5839.5,0.011491775512695312,0.005568981170654297,6210.5,0.4846058091286307,30239.565217391304,0.028838696687117867,-24400.065217391304,0.1931079351842533,4,0.0,cross_setting_rate_only_quality_unknown
