step,sample,frame_gap,target_frame_index,normalized_time,rgb_mse,rgb_psnr
325,robot,8,1,0.125,0.009097926318645477,20.410575847115226
326,robot,4,5,0.25,0.004583503119647503,23.38802468722048
327,n3dv,16,31,0.9375,0.0008604659233242273,30.652663241804554
328,meetroom,4,13,0.25,0.0009726349962875247,30.120501081781597
329,meetroom,4,1,0.25,0.000959030061494559,30.181677793396755
330,robot,4,3,0.75,0.006855553947389126,21.639574472822744
331,meetroom,8,1,0.125,0.0009683052194304764,30.13987727174163
332,meetroom,16,33,0.0625,0.0011580416467040777,29.3627582177565
333,meetroom,2,1,0.5,0.0008626820635981858,30.641492314756373
334,robot,16,31,0.9375,0.0058784340508282185,22.30738349716289
335,n3dv,16,33,0.0625,0.0009039263240993023,30.438669659196265
336,robot,4,15,0.75,0.004187334328889847,23.78062362396239
337,robot,16,75,0.9166666666666666,0.010072208009660244,19.968753138260475
338,meetroom,16,31,0.9375,0.0010494380258023739,29.79043203433904
339,meetroom,2,1,0.5,0.0008625275804661214,30.642270088891973
340,meetroom,8,23,0.875,0.00150887796189636,28.21345884557263
341,n3dv,16,1,0.0625,0.001503736013546586,28.22828399065424
342,n3dv,4,5,0.25,0.001064030104316771,29.73046084490499
343,robot,8,1,0.125,0.00909540057182312,20.411781693545933
344,n3dv,8,17,0.125,0.000875132973305881,30.579259524801525
345,meetroom,16,49,0.0625,0.0012294239131733775,29.102983437950858
346,meetroom,16,17,0.0625,0.0011485981522127986,29.398318867179473
347,n3dv,8,9,0.125,0.0008987113833427429,30.46379757372863
348,robot,16,65,0.08333333333333333,0.0020641409792006016,26.852606440613105
349,meetroom,2,7,0.5,0.0009373317006975412,30.28106694821378
350,n3dv,2,1,0.5,0.001178008271381259,29.288516601409146
351,robot,16,33,0.0625,0.005028948653489351,22.98522798584696
352,n3dv,16,15,0.9375,0.0008546971948817372,30.681877213940627
353,robot,4,15,0.75,0.00418611615896225,23.78188724755956
354,meetroom,16,15,0.9375,0.0008574986131861806,30.66766573659625
355,robot,4,1,0.25,0.008060088381171227,20.936601960057626
356,meetroom,8,1,0.125,0.0009682921809144318,30.139935751171265
357,robot,16,47,0.9375,0.002448184182867408,26.111559122642237
358,n3dv,16,47,0.9375,0.0010284360032528639,29.878227280809515
359,meetroom,2,5,0.5,0.0010133859468623996,29.942251225857376
360,n3dv,8,15,0.875,0.0008446634747087955,30.733162853549267
361,meetroom,4,11,0.75,0.0009685027762316167,30.13899130029699
