sample,method,reference_gap,bits,payload_dtype,total_frames,keyframe_count,raw_bitstream_bytes,zlib_bitstream_bytes,raw_mib_per_frame,zlib_mib_per_frame,theoretical_bitpacked_mib_per_frame,zlib_savings_percent_vs_raw_bitstream,max_roundtrip_abs_diff,mean_roundtrip_mse
meetroom,rendered_prior_0p1,3,12,uint16,81,28,26854508,15190657,0.31617845134970585,0.17885110407699772,0.23697916666666666,43.433493549760804,0.0,0.0
meetroom,rendered_prior_0p1,3,16,uint16,81,28,26854634,17823495,0.31617993484308693,0.20984949889006438,0.3159722222222222,33.62972289996579,0.0,0.0
meetroom,uniform,4,6,uint8,81,21,10076707,4240733,0.11864069950433424,0.04992935981279538,0.0888671875,57.9154876687394,0.0,0.0
meetroom,uniform,4,8,uint8,81,21,10076692,6478965,0.11864052289797936,0.07628175947401258,0.11848958333333333,35.70345307765683,0.0,0.0
meetroom,uniform,4,10,uint16,81,21,20140807,10007514,0.23713296725426192,0.11782603793674046,0.14811197916666666,50.312249156649976,0.0,0.0
meetroom,uniform,4,12,uint16,81,21,20140909,11394357,0.23713416817747515,0.13415439040572555,0.177734375,43.426798661371244,0.0,0.0
meetroom,uniform,4,16,uint16,81,21,20141001,13369579,0.2371352513631185,0.15741017424030068,0.23697916666666666,33.620086707706335,0.0,0.0
meetroom,rendered_prior_0p1,4,6,uint8,81,21,10076707,4240733,0.11864069950433424,0.04992935981279538,0.0888671875,57.9154876687394,0.0,0.0
meetroom,rendered_prior_0p1,4,8,uint8,81,21,10076692,6478965,0.11864052289797936,0.07628175947401258,0.11848958333333333,35.70345307765683,0.0,0.0
meetroom,rendered_prior_0p1,4,10,uint16,81,21,20140807,10007514,0.23713296725426192,0.11782603793674046,0.14811197916666666,50.312249156649976,0.0,0.0
meetroom,rendered_prior_0p1,4,12,uint16,81,21,20140909,11394357,0.23713416817747515,0.13415439040572555,0.177734375,43.426798661371244,0.0,0.0
meetroom,rendered_prior_0p1,4,16,uint16,81,21,20141001,13369579,0.2371352513631185,0.15741017424030068,0.23697916666666666,33.620086707706335,0.0,0.0
meetroom,uniform,8,6,uint8,81,11,5278320,2221518,0.06214565700954861,0.026155613086841726,0.046549479166666664,57.91240394671032,0.0,0.0
meetroom,uniform,8,8,uint8,81,11,5278316,3394568,0.06214560991452064,0.03996681872709298,0.062065972222222224,35.68842790011057,0.0,0.0
meetroom,uniform,8,10,uint16,81,11,10549988,5242483,0.12421299498758198,0.0617237208802023,0.07758246527777778,50.3081614879562,0.0,0.0
meetroom,uniform,8,12,uint16,81,11,10550037,5968879,0.12421357190167462,0.07027613086464965,0.09309895833333333,43.42314628849169,0.0,0.0
meetroom,uniform,8,16,uint16,81,11,10550088,7003909,0.12421417236328125,0.08246232256477262,0.12413194444444445,33.6127907179542,0.0,0.0
meetroom,rendered_prior_0p1,8,6,uint8,81,11,5278302,2221135,0.06214544508192274,0.02615110373791353,0.046549479166666664,57.919516541493834,0.0,0.0
meetroom,rendered_prior_0p1,8,8,uint8,81,11,5278300,3393089,0.06214542153440876,0.03994940534050082,0.062065972222222224,35.716253339143286,0.0,0.0
meetroom,rendered_prior_0p1,8,10,uint16,81,11,10549971,5241727,0.12421279483371311,0.06171481991991585,0.07758246527777778,50.315247312054225,0.0,0.0
meetroom,rendered_prior_0p1,8,12,uint16,81,11,10550023,5967426,0.12421340706907673,0.0702590235957393,0.09309895833333333,43.43684369218911,0.0,0.0
meetroom,rendered_prior_0p1,8,16,uint16,81,11,10550075,7002119,0.12421401930444034,0.08244124753975574,0.12413194444444445,33.629675618419775,0.0,0.0
meetroom,uniform,16,6,uint8,81,6,2879125,1212203,0.033898118101520304,0.014272183547785252,0.025390625,57.89682629271046,0.0,0.0
meetroom,uniform,16,8,uint8,81,6,2879121,1851579,0.03389807100649233,0.02180004119873047,0.033854166666666664,35.68943437945123,0.0,0.0
meetroom,uniform,16,10,uint16,81,6,5754582,2859756,0.06775305006239149,0.03367007220232928,0.042317708333333336,50.30471370466178,0.0,0.0
