task_id,sequence,codec,reference_gap,target_index,base_method,setting_label,selector_policy,selected_candidate,keep_fraction,side_bits,zlib_level,keep_gaussians,compressed_payload_bytes,compressed_mib_per_intermediate_frame,q12_main_anchor_mib_per_frame,uniform_intermediate_frame_ratio,direct_total_mib_per_frame,amortized_total_mib_per_frame,base_psnr,setting_psnr,delta_psnr_vs_base,q6_top10_psnr,delta_psnr_vs_q6_top10,q6_top10_payload_bytes,decoded_max_abs_diff_vs_raw_deterministic
stage79_00021366,bike-packing,q12,8,39,stage65_adapter,q6_top5,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.05,6,9,1843,16457,0.015694618225097656,0.09762538675351436,0.875,0.11332000497861201,0.1113581777004748,19.59357702158396,20.363986541211855,0.7704095196278935,20.914377282842075,-0.5503907416302205,32279,0.0
stage79_00021366,bike-packing,q12,8,39,stage65_adapter,q4_top20,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.2,4,9,7373,32220,0.030727386474609375,0.09762538675351436,0.875,0.12835277322812372,0.12451184991879756,19.59357702158396,21.733056692922798,2.1394796713388367,20.914377282842075,0.8186794100807226,32279,0.0
stage79_00024828,dog,q12,16,57,linear,q6_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,25423,0.024245262145996094,0.055468969746314975,0.9375,0.07971423189231107,0.07819890300818631,17.942222663262687,18.836921873570944,0.8946992103082572,18.836921873570944,0.0,25423,0.0
stage79_00024828,dog,q12,16,57,linear,q5_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,5,9,3686,20964,0.019992828369140625,0.055468969746314975,0.9375,0.0754617981154556,0.07421224634238431,17.942222663262687,18.835737807637397,0.8935151443747102,18.836921873570944,-0.0011840659335469184,25423,0.0
stage79_00024828,dog,q12,16,57,linear,q4_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,4,9,3686,12400,0.0118255615234375,0.055468969746314975,0.9375,0.06729453126975248,0.06655543367453763,17.942222663262687,18.832890811780533,0.8906681485178467,18.836921873570944,-0.004031061790410462,25423,0.0
stage79_00024828,dog,q12,16,57,linear,q6_top5,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.05,6,9,1843,13241,0.012627601623535156,0.055468969746314975,0.9375,0.06809657136985013,0.06730734626837918,17.942222663262687,18.438004780348905,0.4957821170862182,18.836921873570944,-0.39891709322203894,25423,0.0
stage79_00024828,dog,q12,16,57,linear,q4_top20,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.2,4,9,7373,23411,0.02232646942138672,0.055468969746314975,0.9375,0.0777954391677017,0.07640003482886502,17.942222663262687,19.610660402759116,1.6684377394964294,18.836921873570944,0.7737385291881722,25423,0.0
stage79_00024828,dog,q12,16,57,stage65_adapter,q6_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,31457,0.029999732971191406,0.055468969746314975,0.9375,0.08546870271750638,0.08359371940680692,18.453393577997925,19.311715556971627,0.8583219789737022,19.311715556971627,0.0,31457,0.0
stage79_00024828,dog,q12,16,57,stage65_adapter,q5_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,5,9,3686,26265,0.025048255920410156,0.055468969746314975,0.9375,0.08051722566672513,0.0789517096716995,18.453393577997925,19.304151134786064,0.8507575567881389,19.311715556971627,-0.007564422185563302,31457,0.0
stage79_00024828,dog,q12,16,57,stage65_adapter,q4_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,4,9,3686,15227,0.014521598815917969,0.055468969746314975,0.9375,0.06999056856223294,0.06908296863623807,18.453393577997925,19.31223716773172,0.8588435897337945,19.311715556971627,0.0005216107600922726,31457,0.0
