edge_id,task_id,sequence,reference_gap,left_index,right_index,target_index,normalized_time,setting_label,keep_fraction,side_bits,payload_bytes,base_anchor_mse,corrected_anchor_mse,anchor_mse_reduction,base_render_mse,corrected_render_mse,base_psnr,corrected_psnr,delta_psnr_vs_base,status,error
dog:00036:00048:gap12,stage199_00023236,dog,12,36,48,40,0.3333333333333333,topk_keep0p05_q6,0.05,6,15997,0.006920540705323219,0.0047575500793755054,0.3125464783819507,0.01177912950515747,0.008850808255374432,19.28886803358387,20.530170677404804,1.2413026438209336,ok,
dog:00036:00048:gap12,stage199_00023236,dog,12,36,48,40,0.3333333333333333,topk_keep0p1_q6,0.1,6,30260,0.006920540705323219,0.0037274244241416454,0.46139693661876113,0.01177912950515747,0.006775969639420509,19.28886803358387,21.690285485837364,2.4014174522534937,ok,
dog:00036:00048:gap12,stage199_00023236,dog,12,36,48,40,0.3333333333333333,topk_keep0p2_q6,0.2,6,57014,0.006920540705323219,0.0024256310425698757,0.6495026695379305,0.01177912950515747,0.004287040792405605,19.28886803358387,23.678423840348835,4.389555806764964,ok,
dog:00036:00048:gap12,stage199_00023237,dog,12,36,48,41,0.4166666666666667,topk_keep0p05_q6,0.05,6,15848,0.006698232609778643,0.00472050067037344,0.29526175852984615,0.012192938476800919,0.009005962871015072,19.13891617558746,20.45469847840165,1.3157823028141884,ok,
dog:00036:00048:gap12,stage199_00023237,dog,12,36,48,41,0.4166666666666667,topk_keep0p1_q6,0.1,6,29868,0.006698232609778643,0.0037419048603624105,0.44135937368020584,0.012192938476800919,0.006913710385560989,19.13891617558746,21.602888169525816,2.4639719939383546,ok,
dog:00036:00048:gap12,stage199_00023237,dog,12,36,48,41,0.4166666666666667,topk_keep0p2_q6,0.2,6,55963,0.006698232609778643,0.002460961462929845,0.6325954014590167,0.012192938476800919,0.004297626670449972,19.13891617558746,23.667713138342307,4.528796962754846,ok,
dog:00036:00048:gap12,stage199_00023238,dog,12,36,48,42,0.5,topk_keep0p05_q6,0.05,6,15714,0.006924619898200035,0.004966255277395248,0.28281185820955146,0.013040507212281227,0.009414009749889374,18.847055163333216,20.262253562396424,1.4151983990632075,ok,
dog:00036:00048:gap12,stage199_00023238,dog,12,36,48,42,0.5,topk_keep0p1_q6,0.1,6,29674,0.006924619898200035,0.003943576943129301,0.43049914636406506,0.013040507212281227,0.007208170369267464,18.847055163333216,21.421749571069157,2.57469440773594,ok,
dog:00036:00048:gap12,stage199_00023238,dog,12,36,48,42,0.5,topk_keep0p2_q6,0.2,6,55761,0.006924619898200035,0.0025966702960431576,0.6250089775009704,0.013040507212281227,0.004565558396279812,18.847055163333216,23.405060979561256,4.5580058162280395,ok,
dog:00036:00048:gap12,stage199_00023239,dog,12,36,48,43,0.5833333333333334,topk_keep0p05_q6,0.05,6,15568,0.007025962695479393,0.005041731987148523,0.2824140682681895,0.01364931184798479,0.00954895094037056,18.6488924372627,20.200443379276436,1.551550942013737,ok,
