task_id,sequence,gap,left_index,target_index,right_index,normalized_time,stage165_selected_for_extra_keyframe,hard_quality_label,high_payload_label,stage158_psnr,stage158_lpips,payload_bytes,side_mib_per_intermediate,q12_main_anchor_mib_per_frame_ref,uniform_gap8_target_is_keyframe,stage165_adaptive_target_is_keyframe,uniform_gap4_target_is_keyframe,uniform_gap8_residual_payload_bytes,stage165_adaptive_residual_payload_bytes,uniform_gap4_residual_payload_bytes,stage165_adaptive_avoided_payload_bytes_vs_gap8,stage165_adaptive_false_negative_hard,stage165_adaptive_false_negative_high_payload
stage79_00021928,bmx-trees,4,32,35,36,0.75,1,0,1,29.201382012700087,0.1247481256723404,256821.0,0.24492359161376953,0.1819382207679131,0,1,0,256821.0,0.0,256821.0,256821.0,0,0
stage79_00028557,mbike-trick,8,0,3,8,0.375,0,0,0,29.827810910218457,0.21969108283519745,192946.0,0.1840076446533203,0.09762538675351434,0,0,0,192946.0,192946.0,192946.0,0.0,0,0
stage79_00026409,gold-fish,8,48,49,56,0.125,0,0,0,33.37035851948761,0.07448727637529373,184199.0,0.17566585540771484,0.09762538675351434,0,0,0,184199.0,184199.0,184199.0,0.0,0,0
stage79_00030340,scooter-black,8,0,4,8,0.5,1,1,0,24.4885691478027,0.20375370979309082,218516.0,0.20839309692382812,0.09762538675351434,0,1,1,218516.0,0.0,0.0,218516.0,0,0
stage79_00025313,drift-chicane,4,32,35,36,0.75,1,0,0,30.389364799075622,0.17147435247898102,108987.0,0.10393810272216797,0.1819382207679131,0,1,0,108987.0,0.0,108987.0,108987.0,0,0
stage79_00029561,parkour,4,12,15,16,0.75,0,0,1,29.319853135921633,0.1671568751335144,223015.0,0.21268367767333984,0.1819382207679131,0,0,0,223015.0,223015.0,223015.0,0.0,0,1
stage79_00030550,shooting,8,8,12,16,0.5,1,1,1,32.64275504495283,0.28768661618232727,249775.0,0.2382040023803711,0.09762538675351434,0,1,1,249775.0,0.0,0.0,249775.0,0,0
stage79_00028203,loading,4,36,38,40,0.5,1,0,1,28.567645108349154,0.15502038598060608,242922.0,0.23166847229003906,0.1819382207679131,0,1,0,242922.0,0.0,242922.0,242922.0,0,0
stage79_00026641,horsejump-high,4,16,17,20,0.25,0,0,0,27.987254418074862,0.16101130843162537,200519.0,0.19122982025146484,0.1819382207679131,0,0,0,200519.0,200519.0,200519.0,0.0,0,0
stage79_00023210,car-roundabout,4,56,59,60,0.75,1,1,1,25.98485821152527,0.1529761403799057,224613.0,0.21420764923095703,0.1819382207679131,0,1,0,224613.0,0.0,224613.0,224613.0,0,0
stage79_00025890,goat,4,0,3,4,0.75,1,0,1,27.28856003850924,0.1755366176366806,251325.0,0.23968219757080078,0.1819382207679131,0,1,0,251325.0,0.0,251325.0,251325.0,0,0
stage79_00025566,drift-straight,4,36,37,40,0.25,1,0,1,32.031672211797314,0.14438967406749725,251138.0,0.2395038604736328,0.1819382207679131,0,1,0,251138.0,0.0,251138.0,251138.0,0,0
stage79_00023498,car-shadow,8,16,19,24,0.375,1,0,1,29.513743105845474,0.15957248210906982,228595.0,0.21800518035888672,0.09762538675351434,0,1,0,228595.0,0.0,228595.0,228595.0,0,0
stage79_00027276,judo,8,8,10,16,0.25,0,0,0,31.641427055974383,0.15146984159946442,107615.0,0.1026296615600586,0.09762538675351434,0,0,0,107615.0,107615.0,107615.0,0.0,0,0
stage79_00025006,dogs-jump,4,16,17,20,0.25,0,0,0,31.45997573412123,0.2046082317829132,139790.0,0.1333141326904297,0.1819382207679131,0,0,0,139790.0,139790.0,139790.0,0.0,0,0
stage79_00026998,india,4,52,55,56,0.75,1,0,1,33.84819074179289,0.13918063044548035,221399.0,0.21114253997802734,0.1819382207679131,0,1,0,221399.0,0.0,221399.0,221399.0,0,0
stage79_00025330,drift-chicane,8,0,6,8,0.75,1,0,0,30.261442307228403,0.18118873238563538,124854.0,0.11907005310058594,0.09762538675351434,0,1,0,124854.0,0.0,124854.0,124854.0,0,0
stage79_00028811,motocross-jump,4,20,22,24,0.5,1,1,1,30.119209546194526,0.33573687076568604,253183.0,0.2414541244506836,0.1819382207679131,0,1,0,253183.0,0.0,253183.0,253183.0,0,0
