method,codec,reference_gap,side_bits,keep_fraction,task_count,mean_side_info_mib_per_intermediate_frame,mean_baseline_anchor_mse,mean_residual_anchor_mse_after_sideinfo,mean_captured_energy_fraction,mean_residual_mse_reduction_fraction
linear,q12,4,8,0.0,9,0.0,0.007101530051752147,0.007101530051752147,0.0,0.0
linear,q12,4,8,0.01,9,0.005278587341308594,0.007101530051752147,0.006007131581802314,0.17859884732515033,0.17859884732515027
linear,q12,4,8,0.05,9,0.02636432647705078,0.007101530051752147,0.003886368242424098,0.49423215597371606,0.49423215597371606
linear,q12,4,8,0.1,9,0.05272865295410156,0.007101530051752147,0.00259832920398694,0.6736598664316831,0.6736598664316831
linear,q12,4,8,0.25,9,0.1318359375,0.007101530051752147,0.0010288615002591384,0.8786127617934746,0.8786127617934746
linear,q12,4,8,1.0,9,0.52734375,0.007101530051752147,1.6981380277889068e-10,0.999999993351169,0.9999999790724939
linear,q12,8,6,0.0,9,0.0,0.00952265582136732,0.00952265582136732,0.0,0.0
linear,q12,8,6,0.01,9,0.0041348934173583984,0.00952265582136732,0.008441374661066594,0.16325760173479617,0.16325760173479617
linear,q12,8,6,0.05,9,0.020652055740356445,0.00952265582136732,0.005930230757336558,0.4370722921443867,0.4370722921443867
linear,q12,8,6,0.1,9,0.04130411148071289,0.00952265582136732,0.0041089814655121916,0.6167360978722798,0.6167360978722798
linear,q12,8,6,0.25,9,0.103271484375,0.00952265582136732,0.0016279450608001702,0.8502699399525562,0.8502699399525562
linear,q12,8,6,1.0,9,0.4130859375,0.00952265582136732,0.0,1.000000019557127,1.0
linear,q12,8,8,0.0,9,0.0,0.00952265582136732,0.00952265582136732,0.0,0.0
linear,q12,8,8,0.01,9,0.005278587341308594,0.00952265582136732,0.008441374661066594,0.16325760173479617,0.16325760173479617
linear,q12,8,8,0.05,9,0.02636432647705078,0.00952265582136732,0.005930230757336558,0.4370722921443867,0.4370722921443867
linear,q12,8,8,0.1,9,0.05272865295410156,0.00952265582136732,0.0041089814655121916,0.6167360978722798,0.6167360978722798
linear,q12,8,8,0.25,9,0.1318359375,0.00952265582136732,0.0016279450608001702,0.8502699399525562,0.8502699399525562
linear,q12,8,8,1.0,9,0.52734375,0.00952265582136732,0.0,1.000000019557127,1.0
linear,q12,16,6,0.0,12,0.0,0.009777020933663743,0.009777020933663743,0.0,0.0
linear,q12,16,6,0.01,12,0.0041348934173583984,0.009777020933663743,0.008735205805687993,0.16900241831031002,0.16900241831031002
linear,q12,16,6,0.05,12,0.020652055740356445,0.009777020933663743,0.006367898830066718,0.45084635795816075,0.45084635795816075
linear,q12,16,6,0.1,12,0.04130411148071289,0.009777020933663743,0.004618815669094735,0.6257691648725925,0.6257691648725925
linear,q12,16,6,0.25,12,0.103271484375,0.009777020933663743,0.002033494794980074,0.8485600745450567,0.8485600745450567
linear,q12,16,6,1.0,12,0.4130859375,0.009777020933663743,1.0613362673680667e-11,1.0000000074193902,0.9999999933994022
