task_id,sequence,codec,reference_gap,target_index,method,side_bits,keep_fraction,keep_gaussians,side_info_mib_per_intermediate_frame,baseline_anchor_mse,residual_anchor_mse_after_sideinfo,captured_energy_fraction,residual_mse_reduction_fraction
stage79_00021595,blackswan,q12,4,25,linear,8,0.1,3686,0.05272865295410156,0.00729263542044876,0.0027537692306388137,0.6223903881281154,0.6223903881281154
stage79_00021595,blackswan,q12,4,25,linear,8,0.25,9216,0.1318359375,0.00729263542044876,0.0010492078259459927,0.8561277555430806,0.8561277555430806
stage79_00021595,blackswan,q12,4,25,linear,8,1.0,36864,0.52734375,0.00729263542044876,0.0,1.0,1.0
stage79_00021595,blackswan,q12,4,25,stage65_adapter,6,0.0,0,0.0,0.023603838733118825,0.023603838733118825,0.0,0.0
stage79_00021595,blackswan,q12,4,25,stage65_adapter,6,0.01,369,0.0041348934173583984,0.023603838733118825,0.022353757140982863,0.05296094445781631,0.052960944457816406
stage79_00021595,blackswan,q12,4,25,stage65_adapter,6,0.05,1843,0.020652055740356445,0.023603838733118825,0.019398847961018227,0.17814859776179218,0.17814859776179226
stage79_00021595,blackswan,q12,4,25,stage65_adapter,6,0.1,3686,0.04130411148071289,0.023603838733118825,0.01705282009564913,0.27754039127025043,0.27754039127025054
stage79_00021595,blackswan,q12,4,25,stage65_adapter,6,0.25,9216,0.103271484375,0.023603838733118825,0.012451675203111436,0.47247245060862303,0.4724724506086231
stage79_00021595,blackswan,q12,4,25,stage65_adapter,6,1.0,36864,0.4130859375,0.023603838733118825,0.0,1.0,1.0
stage79_00021595,blackswan,q12,4,25,stage65_adapter,8,0.0,0,0.0,0.023603838733118825,0.023603838733118825,0.0,0.0
stage79_00021595,blackswan,q12,4,25,stage65_adapter,8,0.01,369,0.005278587341308594,0.023603838733118825,0.022353757140982863,0.05296094445781631,0.052960944457816406
stage79_00021595,blackswan,q12,4,25,stage65_adapter,8,0.05,1843,0.02636432647705078,0.023603838733118825,0.019398847961018227,0.17814859776179218,0.17814859776179226
stage79_00021595,blackswan,q12,4,25,stage65_adapter,8,0.1,3686,0.05272865295410156,0.023603838733118825,0.01705282009564913,0.27754039127025043,0.27754039127025054
stage79_00021595,blackswan,q12,4,25,stage65_adapter,8,0.25,9216,0.1318359375,0.023603838733118825,0.012451675203111436,0.47247245060862303,0.4724724506086231
stage79_00021595,blackswan,q12,4,25,stage65_adapter,8,1.0,36864,0.52734375,0.023603838733118825,0.0,1.0,1.0
stage79_00028274,loading,q12,16,23,linear,6,0.0,0,0.0,0.015310293588882837,0.015310293588882837,0.0,0.0
stage79_00028274,loading,q12,16,23,linear,6,0.01,369,0.0041348934173583984,0.015310293588882837,0.013997207849453658,0.0857648961338431,0.08576489613384308
stage79_00028274,loading,q12,16,23,linear,6,0.05,1843,0.020652055740356445,0.015310293588882837,0.010829157808907012,0.29268777596986667,0.2926877759698667
