stage97_task_id,source_task_id,sequence,codec,reference_gap,target_index,base_method,candidate,keep_fraction,keep_gaussians,precision_at_keep,energy_recall_total,oracle_energy_recall_total,relative_energy_recall_vs_oracle,base_psnr,sideinfo_psnr,teacher_oracle_sideinfo_psnr,delta_psnr_vs_base,gap_to_teacher_oracle_psnr
stage97_00012909,stage79_00025966,goat,q12,8,14,stage65_adapter,endpoint_diff_baseline,0.1,3686,0.1497558355331421,0.10833781957626343,0.2376917004585266,0.4557913541793823,18.380391856347483,19.052103229455252,20.484616917907754,0.6717113731077688,-1.4325136884525023
stage97_00012909,stage79_00025966,goat,q12,8,14,stage65_adapter,shared_topk_bce,0.1,3686,0.31334781646728516,0.14955757558345795,0.2376917004585266,0.6292082071304321,18.380391856347483,19.036764670197517,20.484616917907754,0.6563728138500338,-1.4478522477102374
stage97_00012909,stage79_00025966,goat,q12,8,14,stage65_adapter,shared_energy_regression,0.1,3686,0.3076505661010742,0.1484028697013855,0.2376917004585266,0.6243502497673035,18.380391856347483,18.987695592015104,20.484616917907754,0.607303735667621,-1.4969213258926501
stage97_00011187,stage79_00022450,breakdance,q12,16,2,linear,teacher_oracle_topk,0.1,3686,1.0,0.8833849430084229,0.8833849430084229,1.0,18.382936997570283,24.029333305389947,24.029333305389947,5.646396307819664,0.0
stage97_00011187,stage79_00022450,breakdance,q12,16,2,linear,endpoint_diff_baseline,0.1,3686,0.2563754618167877,0.29189953207969666,0.8833849430084229,0.3304329812526703,18.382936997570283,19.81983243605028,24.029333305389947,1.436895438479997,-4.209500869339667
stage97_00011187,stage79_00022450,breakdance,q12,16,2,linear,shared_topk_bce,0.1,3686,0.32447096705436707,0.3433184325695038,0.8833849430084229,0.3886396586894989,18.382936997570283,19.95217593885179,24.029333305389947,1.5692389412815082,-4.077157366538156
stage97_00011187,stage79_00022450,breakdance,q12,16,2,linear,shared_energy_regression,0.1,3686,0.34943026304244995,0.35563820600509644,0.8833849430084229,0.4025857746601105,18.382936997570283,20.154108514920264,24.029333305389947,1.7711715173499805,-3.8752247904696837
stage97_00011187,stage79_00022450,breakdance,q12,16,2,stage65_adapter,teacher_oracle_topk,0.1,3686,1.0,0.34604182839393616,0.34604182839393616,1.0,17.738392484478393,21.427838112249304,21.427838112249304,3.689445627770912,0.0
stage97_00011187,stage79_00022450,breakdance,q12,16,2,stage65_adapter,endpoint_diff_baseline,0.1,3686,0.26180142164230347,0.16346120834350586,0.34604182839393616,0.4723741412162781,17.738392484478393,18.903884644116708,21.427838112249304,1.1654921596383154,-2.5239534681325964
stage97_00011187,stage79_00022450,breakdance,q12,16,2,stage65_adapter,shared_topk_bce,0.1,3686,0.36923494935035706,0.1879405677318573,0.34604182839393616,0.5431151986122131,17.738392484478393,19.0403354524085,21.427838112249304,1.3019429679301062,-2.3875026598408056
stage97_00011187,stage79_00022450,breakdance,q12,16,2,stage65_adapter,shared_energy_regression,0.1,3686,0.39419424533843994,0.1942450851202011,0.34604182839393616,0.5613341331481934,17.738392484478393,19.160572570316184,21.427838112249304,1.422180085837791,-2.2672655419331207
stage97_00012030,stage79_00024069,cows,q12,16,93,linear,teacher_oracle_topk,0.1,3686,1.0,0.5193833112716675,0.5193833112716675,1.0,16.76141743538315,19.273252227639798,19.273252227639798,2.5118347922566464,0.0
stage97_00012030,stage79_00024069,cows,q12,16,93,linear,endpoint_diff_baseline,0.1,3686,0.18149755895137787,0.15255649387836456,0.5193833112716675,0.29372620582580566,16.76141743538315,17.466186042159556,19.273252227639798,0.7047686067764047,-1.8070661854802417
stage97_00012030,stage79_00024069,cows,q12,16,93,linear,shared_topk_bce,0.1,3686,0.2341291308403015,0.20071156322956085,0.5193833112716675,0.38644206523895264,16.76141743538315,17.573290381618087,19.273252227639798,0.811872946234935,-1.6999618460217114
stage97_00012030,stage79_00024069,cows,q12,16,93,linear,shared_energy_regression,0.1,3686,0.2189365178346634,0.1871429979801178,0.5193833112716675,0.3603177070617676,16.76141743538315,17.571123452430047,19.273252227639798,0.8097060170468957,-1.7021287752097507
stage97_00012030,stage79_00024069,cows,q12,16,93,stage65_adapter,teacher_oracle_topk,0.1,3686,1.0,0.2706109285354614,0.2706109285354614,1.0,17.87750507211477,19.901933195441345,19.901933195441345,2.024428123326576,0.0
stage97_00012030,stage79_00024069,cows,q12,16,93,stage65_adapter,endpoint_diff_baseline,0.1,3686,0.17471513152122498,0.11779867857694626,0.2706109285354614,0.4353064298629761,17.87750507211477,18.460280598520722,19.901933195441345,0.5827755264059533,-1.4416525969206226
stage97_00012030,stage79_00024069,cows,q12,16,93,stage65_adapter,shared_topk_bce,0.1,3686,0.34671729803085327,0.1665075421333313,0.2706109285354614,0.6153023838996887,17.87750507211477,18.519594221532074,19.901933195441345,0.6420891494173055,-1.3823389739092704
stage97_00012030,stage79_00024069,cows,q12,16,93,stage65_adapter,shared_energy_regression,0.1,3686,0.34047749638557434,0.16594141721725464,0.2706109285354614,0.6132103204727173,17.87750507211477,18.518323629744586,19.901933195441345,0.6408185576298173,-1.3836095656967586
stage97_00012694,stage79_00025402,drift-chicane,q12,16,36,linear,teacher_oracle_topk,0.1,3686,1.0,0.8355870842933655,0.8355870842933655,1.0,26.38821963542568,29.370598525051996,29.370598525051996,2.9823788896263146,0.0
stage97_00012694,stage79_00025402,drift-chicane,q12,16,36,linear,endpoint_diff_baseline,0.1,3686,0.6009224057197571,0.6544334888458252,0.8355870842933655,0.7832019925117493,26.38821963542568,28.803875015365918,29.370598525051996,2.4156553799402367,-0.5667235096860779
stage97_00012694,stage79_00025402,drift-chicane,q12,16,36,linear,shared_topk_bce,0.1,3686,0.500813901424408,0.6389392614364624,0.8355870842933655,0.7646591067314148,26.38821963542568,28.46111904465011,29.370598525051996,2.07289940922443,-0.9094794804018846
stage97_00012694,stage79_00025402,drift-chicane,q12,16,36,linear,shared_energy_regression,0.1,3686,0.5477482080459595,0.6686033606529236,0.8355870842933655,0.8001599907875061,26.38821963542568,28.665851653088232,29.370598525051996,2.277632017662551,-0.7047468719637635
stage97_00012694,stage79_00025402,drift-chicane,q12,16,36,stage65_adapter,teacher_oracle_topk,0.1,3686,1.0,0.15468727052211761,0.15468727052211761,1.0,25.591843417197747,27.038346178786927,27.038346178786927,1.44650276158918,0.0
stage97_00012694,stage79_00025402,drift-chicane,q12,16,36,stage65_adapter,endpoint_diff_baseline,0.1,3686,0.3323385715484619,0.127919539809227,0.15468727052211761,0.8269558548927307,25.591843417197747,27.44538482672343,27.038346178786927,1.8535414095256826,0.4070386479365027
stage97_00012694,stage79_00025402,drift-chicane,q12,16,36,stage65_adapter,shared_topk_bce,0.1,3686,0.3733043968677521,0.12916570901870728,0.15468727052211761,0.835011899471283,25.591843417197747,26.983947559659732,27.038346178786927,1.392104142461985,-0.05439861912719479
stage97_00012694,stage79_00025402,drift-chicane,q12,16,36,stage65_adapter,shared_energy_regression,0.1,3686,0.3865979313850403,0.1321001648902893,0.15468727052211761,0.853982150554657,25.591843417197747,27.037040565147077,27.038346178786927,1.4451971479493295,-0.0013056136398503781
stage97_00014714,stage79_00029615,parkour,q12,4,87,linear,teacher_oracle_topk,0.1,3686,1.0,0.5650998950004578,0.5650998950004578,1.0,18.359187389760013,20.621650102435815,20.621650102435815,2.262462712675802,0.0
stage97_00014714,stage79_00029615,parkour,q12,4,87,linear,endpoint_diff_baseline,0.1,3686,0.21975040435791016,0.1914006769657135,0.5650998950004578,0.33870238065719604,18.359187389760013,19.342948039308475,20.621650102435815,0.9837606495484614,-1.2787020631273407
stage97_00014714,stage79_00029615,parkour,q12,4,87,linear,shared_topk_bce,0.1,3686,0.2905588746070862,0.24658553302288055,0.5650998950004578,0.43635740876197815,18.359187389760013,19.404995215416733,20.621650102435815,1.0458078256567198,-1.2166548870190823
stage97_00014714,stage79_00029615,parkour,q12,4,87,linear,shared_energy_regression,0.1,3686,0.27997830510139465,0.2401905059814453,0.5650998950004578,0.4250407814979553,18.359187389760013,19.49842800921104,20.621650102435815,1.1392406194510265,-1.1232220932247756
stage97_00014714,stage79_00029615,parkour,q12,4,87,stage65_adapter,teacher_oracle_topk,0.1,3686,1.0,0.25941184163093567,0.25941184163093567,1.0,19.14485742235695,21.20240413438058,21.20240413438058,2.0575467120236297,0.0
stage97_00014714,stage79_00029615,parkour,q12,4,87,stage65_adapter,endpoint_diff_baseline,0.1,3686,0.23331524431705475,0.13473962247371674,0.25941184163093567,0.5194042921066284,19.14485742235695,20.0648337466652,21.20240413438058,0.9199763243082515,-1.1375703877153782
stage97_00014714,stage79_00029615,parkour,q12,4,87,stage65_adapter,shared_topk_bce,0.1,3686,0.4177970588207245,0.17791986465454102,0.25941184163093567,0.6858586668968201,19.14485742235695,19.988732488658464,21.20240413438058,0.8438750663015142,-1.2136716457221155
stage97_00014714,stage79_00029615,parkour,q12,4,87,stage65_adapter,shared_energy_regression,0.1,3686,0.4213239252567291,0.17926684021949768,0.25941184163093567,0.6910511255264282,19.14485742235695,19.965847155559896,21.20240413438058,0.8209897332029463,-1.2365569788206834
stage97_00013287,stage79_00026663,horsejump-high,q12,4,46,linear,teacher_oracle_topk,0.1,3686,1.0,0.6334146857261658,0.6334146857261658,1.0,17.69117728910352,21.355177991385887,21.355177991385887,3.6640007022823653,0.0
stage97_00013287,stage79_00026663,horsejump-high,q12,4,46,linear,endpoint_diff_baseline,0.1,3686,0.23060227930545807,0.23257002234458923,0.6334146857261658,0.367168664932251,17.69117728910352,19.217224629197126,21.355177991385887,1.526047340093605,-2.1379533621887603
stage97_00013287,stage79_00026663,horsejump-high,q12,4,46,linear,shared_topk_bce,0.1,3686,0.2919153571128845,0.2748457193374634,0.6334146857261658,0.43391117453575134,17.69117728910352,19.094250875009244,21.355177991385887,1.403073585905723,-2.2609271163766422
stage97_00013287,stage79_00026663,horsejump-high,q12,4,46,linear,shared_energy_regression,0.1,3686,0.2794356942176819,0.2607095539569855,0.6334146857261658,0.41159379482269287,17.69117728910352,19.03016470593115,21.355177991385887,1.338987416827628,-2.3250132854547374
stage97_00013287,stage79_00026663,horsejump-high,q12,4,46,stage65_adapter,teacher_oracle_topk,0.1,3686,1.0,0.2582898437976837,0.2582898437976837,1.0,18.537125330198055,21.944233347359923,21.944233347359923,3.4071080171618675,0.0
