sample,reference_gap,method,delta_all_psnr,delta_middle_psnr,candidate_all_psnr,uniform_all_psnr,oracle_all_psnr,oracle_delta_all_psnr,keyframe_count,exact_uniform,exact_oracle,jaccard_to_uniform,jaccard_to_oracle,position_mae_to_uniform,position_mae_to_oracle,max_segment_ratio,mean_abs_len_error_ratio,segment_std_ratio,selector_cost,candidate_indices,uniform_indices,oracle_indices
n3dv,4,full_sample_z_rank_prior_0p3,-0.008145086457815864,-0.02333512012671335,30.421468057399917,30.429613143857733,30.429613143857733,0.0,21,false,false,0.05,0.05,0.9047619047619048,0.9047619047619048,1.25,0.025,0.07905694150420949,3.281744587565678,0 5 9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73 77 80,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80
n3dv,8,length_raw_log_prior_0p1,0.0,0.0,29.938123059399317,29.938123059399317,29.938123059399317,0.0,11,true,true,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.023440806407937113,0 8 16 24 32 40 48 56 64 72 80,0 8 16 24 32 40 48 56 64 72 80,0 8 16 24 32 40 48 56 64 72 80
n3dv,8,full_raw_log_prior_0p1,0.0,0.0,29.938123059399317,29.938123059399317,29.938123059399317,0.0,11,true,true,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.6927200654089774e-05,0 8 16 24 32 40 48 56 64 72 80,0 8 16 24 32 40 48 56 64 72 80,0 8 16 24 32 40 48 56 64 72 80
n3dv,8,length_sample_z_rank_prior_0p1,0.0,0.0,29.938123059399317,29.938123059399317,29.938123059399317,0.0,11,true,true,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.1235905667556825,0 8 16 24 32 40 48 56 64 72 80,0 8 16 24 32 40 48 56 64 72 80,0 8 16 24 32 40 48 56 64 72 80
n3dv,8,full_sample_z_rank,-0.445272026460394,-0.5215300799868174,29.492851032938923,29.938123059399317,29.938123059399317,0.0,11,false,false,0.1,0.1,11.363636363636363,11.363636363636363,1.875,0.7,0.7352720584926371,2.7139897588175597,0 14 26 41 55 66 67 68 69 79 80,0 8 16 24 32 40 48 56 64 72 80,0 8 16 24 32 40 48 56 64 72 80
n3dv,8,full_sample_z_rank_prior_0p1,-0.07561886355765779,-0.09083124290247824,29.86250419584166,29.938123059399317,29.938123059399317,0.0,11,false,false,0.15789473684210525,0.15789473684210525,2.0,2.0,1.25,0.15,0.1767766952966369,2.9353013348104633,0 6 14 21 27 35 45 55 64 71 80,0 8 16 24 32 40 48 56 64 72 80,0 8 16 24 32 40 48 56 64 72 80
n3dv,8,full_sample_z_rank_prior_0p3,0.011565942337004032,0.009324726252547322,29.94968900173632,29.938123059399317,29.938123059399317,0.0,11,false,false,0.2222222222222222,0.2222222222222222,0.6363636363636364,0.6363636363636364,1.125,0.05,0.07905694150420949,2.9640978747429094,0 8 17 25 33 41 49 57 64 71 80,0 8 16 24 32 40 48 56 64 72 80,0 8 16 24 32 40 48 56 64 72 80
n3dv,16,length_raw_log_prior_0p1,0.0,0.0,29.125309658911,29.125309658911,29.20038990971024,0.07508025079923897,6,true,false,1.0,0.2,0.0,1.0,1.0,0.0,0.0,0.09984720524223664,0 16 32 48 64 80,0 16 32 48 64 80,0 15 30 46 63 80
n3dv,16,full_raw_log_prior_0p1,0.0,0.0,29.125309658911,29.125309658911,29.20038990971024,0.07508025079923897,6,true,false,1.0,0.2,0.0,1.0,1.0,0.0,0.0,2.723390948328807e-05,0 16 32 48 64 80,0 16 32 48 64 80,0 15 30 46 63 80
n3dv,16,length_sample_z_rank_prior_0p1,0.0,0.0,29.125309658911,29.125309658911,29.20038990971024,0.07508025079923897,6,true,false,1.0,0.2,0.0,1.0,1.0,0.0,0.0,2.275275601523945,0 16 32 48 64 80,0 16 32 48 64 80,0 15 30 46 63 80
n3dv,16,full_sample_z_rank,-0.3516266540635691,-0.3817689317609094,28.77368300484743,29.125309658911,29.20038990971024,0.07508025079923897,6,false,false,0.2,0.2,12.833333333333334,13.833333333333334,1.75,0.725,0.7510409442899901,2.688555344862212,0 27 55 77 78 80,0 16 32 48 64 80,0 15 30 46 63 80
n3dv,16,full_sample_z_rank_prior_0p1,0.05288881517569877,0.054342095015151415,29.1781984740867,29.125309658911,29.20038990971024,0.07508025079923897,6,false,false,0.2,0.2,2.6666666666666665,3.6666666666666665,1.25,0.175,0.19764235376052372,2.789733299115521,0 17 35 55 69 80,0 16 32 48 64 80,0 15 30 46 63 80
n3dv,16,full_sample_z_rank_prior_0p3,-0.05991704624753069,-0.06729954282854322,29.06539261266347,29.125309658911,29.20038990971024,0.07508025079923897,6,false,false,0.2,0.2,0.8333333333333334,1.8333333333333333,1.0625,0.05,0.06846531968814576,2.815689366135471,0 17 33 49 66 80,0 16 32 48 64 80,0 15 30 46 63 80
robot,4,length_raw_log_prior_0p1,0.0,0.0,25.19141168744805,25.19141168744805,25.354727880541567,0.16331619309351808,20,true,false,1.0,0.2903225806451613,0.0,0.95,1.0,0.0,0.0,0.008944598276169932,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76,0 5 9 14 18 22 26 30 34 38 42 45 48 52 56 60 64 68 72 76
robot,4,full_raw_log_prior_0p1,0.0,0.0,25.19141168744805,25.19141168744805,25.354727880541567,0.16331619309351808,20,true,false,1.0,0.2903225806451613,0.0,0.95,1.0,0.0,0.0,2.665165381444254e-06,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76,0 5 9 14 18 22 26 30 34 38 42 45 48 52 56 60 64 68 72 76
robot,4,length_sample_z_rank_prior_0p1,0.0,0.0,25.19141168744805,25.19141168744805,25.354727880541567,0.16331619309351808,20,true,false,1.0,0.2903225806451613,0.0,0.95,1.0,0.0,0.0,1.7714254207092825,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76,0 5 9 14 18 22 26 30 34 38 42 45 48 52 56 60 64 68 72 76
robot,4,full_sample_z_rank,-1.0984827132258275,-1.3824764873185664,24.09292897422222,25.19141168744805,25.354727880541567,0.16331619309351808,20,false,false,0.17647058823529413,0.25,10.3,11.15,2.0,0.7105263157894737,0.7565503427086868,2.761986360039938,0 3 5 13 14 15 16 17 18 19 20 21 25 31 37 45 53 60 68 76,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76,0 5 9 14 18 22 26 30 34 38 42 45 48 52 56 60 64 68 72 76
robot,4,full_sample_z_rank_prior_0p1,-0.3040319467207624,-0.37958380563006244,24.887379740727287,25.19141168744805,25.354727880541567,0.16331619309351808,20,false,false,0.21212121212121213,0.17647058823529413,1.9,2.85,1.5,0.15789473684210525,0.21459876881973802,3.1526396710302693,0 3 7 12 15 18 21 25 29 32 35 40 45 49 53 59 63 68 72 76,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76,0 5 9 14 18 22 26 30 34 38 42 45 48 52 56 60 64 68 72 76
