step,task_id,sequence,codec,reference_gap,target_index,normalized_time,loss,loss_weight,weighted_loss,loss_psnr
176,stage79_00012757,motocross-bumps,q12,4,47,0.75,0.01883038692176342,2.0,0.03766077384352684,17.251407561245795
177,stage79_00018006,stunt,q12,8,60,0.5,0.015328551642596722,1.5,0.022992826998233795,18.144988786318685
178,stage79_00013989,rallye,q12,4,25,0.25,0.012774886563420296,2.0,0.02554977312684059,18.93642947561104
179,stage79_00019284,tractor-sand,q12,8,38,0.75,0.006660482380539179,1.5,0.009990723803639412,21.764943162321178
180,stage79_00010695,lindy-hop,q12,4,26,0.5,0.012350203469395638,2.0,0.024700406938791275,19.083258873510484
181,stage79_00001582,boxing-fisheye,q12,8,70,0.75,0.009377781301736832,1.5,0.014066671952605247,20.27899899615552
182,stage79_00002351,bus,q12,8,67,0.375,0.029960814863443375,1.5,0.04494122415781021,15.234463790271631
183,stage79_00013582,paragliding,q12,8,51,0.375,0.0035087279975414276,1.5,0.005263091996312141,24.548502977137726
184,stage79_00017213,soccerball,q12,8,37,0.625,0.011906174011528492,1.5,0.017859261482954025,19.24227774422065
185,stage79_00017619,stroller,q12,8,66,0.25,0.02904815971851349,1.5,0.04357223957777023,15.36881376162144
186,stage79_00004228,crossing,q12,8,38,0.75,0.011567244306206703,1.5,0.01735086739063263,19.367700917961496
187,stage79_00009102,kid-football,q12,4,22,0.5,0.012438887730240822,2.0,0.024877775460481644,19.052184519776066
188,stage79_00011293,lucia,q12,4,1,0.25,0.008498944342136383,2.0,0.016997888684272766,20.706350148571108
189,stage79_00011720,mallard-fly,q12,8,30,0.75,0.015564516186714172,1.5,0.02334677428007126,18.07864374544971
190,stage79_00013203,night-race,q12,4,7,0.75,0.002437368268147111,2.0,0.004874736536294222,26.130788472039043
191,stage79_00007705,flamingo,q12,8,14,0.75,0.022171558812260628,1.5,0.033257339149713516,16.542037719389956
192,stage79_00012756,motocross-bumps,q12,4,46,0.5,0.021800264716148376,2.0,0.04360052943229675,16.615382328144545
193,stage79_00006943,drone,q12,8,89,0.5,0.03746546059846878,1.5,0.05619819089770317,14.263689238387682
194,stage79_00001058,boat,q12,4,11,0.75,0.0020548105239868164,2.0,0.004109621047973633,26.87228218644752
195,stage79_00019693,train,q12,8,53,0.625,0.018472803756594658,1.5,0.027709204703569412,17.334671834115955
196,stage79_00020943,walking,q12,4,22,0.5,0.014453276991844177,2.0,0.028906553983688354,18.400336741445116
197,stage79_00003847,color-run,q12,4,41,0.25,0.015299320220947266,2.0,0.03059864044189453,18.15327865316396
198,stage79_00019707,train,q12,8,69,0.625,0.017438245937228203,1.5,0.02615736797451973,17.58497201633614
199,stage79_00004798,dancing,q12,8,14,0.75,0.021545428782701492,1.5,0.03231814503669739,16.666448584515386
200,stage79_00005096,disc-jockey,q12,4,13,0.25,0.0005490522598847747,2.0,0.0010981045197695494,32.60386316571011
201,stage79_00008785,horsejump-low,q12,4,26,0.5,0.019514186307787895,2.0,0.03902837261557579,17.096495529866345
202,stage79_00003525,classic-car,q12,8,36,0.5,0.051975399255752563,1.5,0.07796309888362885,12.842021658944399
203,stage79_00011012,longboard,q12,4,31,0.75,0.011585203930735588,2.0,0.023170407861471176,19.36096317056254
204,stage79_00006132,dogs-scale,q12,8,36,0.5,0.035512775182724,1.5,0.053269162774086,14.496153879786025
205,stage79_00018531,swing,q12,4,37,0.25,0.011415607295930386,2.0,0.02283121459186077,19.425009796397234
206,stage79_00007634,flamingo,q12,4,1,0.25,0.00841575674712658,2.0,0.01683151349425316,20.74906826054809
207,stage79_00010786,lindy-hop,q12,8,65,0.125,0.011674726381897926,1.5,0.017512090504169464,19.32753289110833
208,stage79_00008046,hike,q12,4,11,0.75,0.008103916421532631,2.0,0.016207832843065262,20.913050466525092
209,stage79_00019265,tractor-sand,q12,8,17,0.125,0.015053716488182545,1.5,0.022580575197935104,18.223562674419956
210,stage79_00001966,breakdance-flare,q12,8,69,0.8333333333333334,0.009198586456477642,1.5,0.013797879219055176,20.36278905406371
211,stage79_00009184,kid-football,q12,8,55,0.875,0.009988215751945972,1.5,0.014982324093580246,20.005120851765568
212,stage79_00011034,longboard,q12,8,9,0.125,0.009697501547634602,1.5,0.01454625278711319,20.133401424183816
213,stage79_00011665,mallard-fly,q12,4,30,0.5,0.013030629605054855,2.0,0.02606125921010971,18.850345998365178
214,stage79_00017527,stroller,q12,4,43,0.75,0.008793486282229424,2.0,0.017586972564458847,20.558389095725566
215,stage79_00010415,lady-running,q12,8,45,0.625,0.033042144030332565,1.5,0.0495632141828537,14.809317800462072
216,stage79_00013207,night-race,q12,4,13,0.25,0.001971571007743478,2.0,0.003943142015486956,27.051875768378668
217,stage79_00008799,horsejump-low,q12,4,45,0.25,0.010543815791606903,2.0,0.021087631583213806,19.770021901350685
218,stage79_00016602,skate-park,q12,8,54,0.75,0.005586704704910517,1.5,0.008380057290196419,22.528442834308045
219,stage79_00005688,dog-gooses,q12,8,11,0.375,0.013296572491526604,1.5,0.01994485780596733,18.762602943603245
220,stage79_00015767,scooter-gray,q12,4,2,0.5,0.0319596529006958,2.0,0.0639193058013916,14.953979460079543
221,stage79_00002684,car-turn,q12,4,62,0.5,0.011167292483150959,2.0,0.022334584966301918,19.520521090831036
222,stage79_00011376,lucia,q12,8,37,0.625,0.01622173935174942,1.5,0.02433260902762413,17.899025810516452
223,stage79_00020610,varanus-cage,q12,4,42,0.5,0.011494050733745098,2.0,0.022988101467490196,19.395268902598367
224,stage79_00010740,lindy-hop,q12,8,12,0.5,0.016711050644516945,1.5,0.025066576898097992,17.76996244614561
225,stage79_00009504,kite-walk,q12,4,62,0.5,0.004264706280082464,2.0,0.008529412560164928,23.701108743046678
226,stage79_00003494,classic-car,q12,8,1,0.125,0.032500654458999634,1.5,0.04875098168849945,14.88107893634343
227,stage79_00006879,drone,q12,8,15,0.875,0.022839996963739395,1.5,0.03425999730825424,16.413039581596095
