measurement_key,sequence,target_index,left_index,right_index,segment_length,normalized_time,used_by_schedules,schedule_count,keep_fraction,side_bits,selector_mode,selector_payload_bytes,left_payload_bytes,right_payload_bytes,left_psnr,right_psnr,selected_half,selected_residual_payload_bytes,payload_bytes,payload_mib,status,error
residual::bike-packing:00053:00052:00056,bike-packing,53,52,56,4,0.25,uniform_gap4,1,1.0,6,psnr_best_half,1,200538,196820,26.596105739227305,25.290312045599265,left,200538,200539,0.19124889373779297,ok,
residual::bike-packing:00054:00048:00056,bike-packing,54,48,56,8,0.75,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,242678,190688,24.285951954481636,26.25244379233592,right,190688,190689,0.1818552017211914,ok,
residual::bike-packing:00054:00052:00056,bike-packing,54,52,56,4,0.5,uniform_gap4,1,1.0,6,psnr_best_half,1,212669,182429,26.134400514694814,25.911467851560218,left,212669,212670,0.2028179168701172,ok,
residual::bike-packing:00055:00048:00056,bike-packing,55,48,56,8,0.875,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,240158,169602,23.915653605044135,26.35065422396722,right,169602,169603,0.16174602508544922,ok,
residual::bike-packing:00055:00052:00056,bike-packing,55,52,56,4,0.75,uniform_gap4,1,1.0,6,psnr_best_half,1,216815,159526,25.647343951351186,26.280269070617372,right,159526,159527,0.15213680267333984,ok,
residual::bike-packing:00057:00056:00060,bike-packing,57,56,60,4,0.25,uniform_gap4,1,1.0,6,psnr_best_half,1,171324,198733,26.40623102935169,25.106945253852775,left,171324,171325,0.16338825225830078,ok,
residual::bike-packing:00057:00056:00064,bike-packing,57,56,64,8,0.125,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,170197,211175,26.428700200505272,24.944828485746257,left,170197,170198,0.16231346130371094,ok,
residual::bike-packing:00058:00056:00060,bike-packing,58,56,60,4,0.5,uniform_gap4,1,1.0,6,psnr_best_half,1,189749,193924,26.07661616688511,25.686842765634722,left,189749,189750,0.18095970153808594,ok,
residual::bike-packing:00058:00056:00064,bike-packing,58,56,64,8,0.25,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,185827,206536,26.21914313401797,25.224725757239753,left,185827,185828,0.17721939086914062,ok,
residual::bike-packing:00059:00056:00060,bike-packing,59,56,60,4,0.75,uniform_gap4,1,1.0,6,psnr_best_half,1,195363,163852,26.00625055814437,26.310979553237054,right,163852,163853,0.15626239776611328,ok,
residual::bike-packing:00059:00056:00064,bike-packing,59,56,64,8,0.375,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,195647,195667,26.09893632431956,25.61788653995712,left,195647,195648,0.18658447265625,ok,
