task_id,sequence,codec,reference_gap,target_index,base_method,keep_fraction,side_bits,keep_gaussians,payload_bytes,payload_mib_per_intermediate_frame,theoretical_bytes_without_header,header_bytes,metadata_bytes,index_bytes,residual_bytes,payload_entropy_bits_per_byte,residual_entropy_bits_per_byte,zlib_whole_bytes,component_zlib_bytes,residual_zlib_bytes,delta_index_zlib_bytes,best_candidate,best_bytes,best_mib_per_intermediate_frame,best_ratio_vs_raw,best_savings_bytes_vs_raw
stage79_00023938,cows,q12,8,53,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.940524005313306,6.625951552774868,34684,34431,34652,30088,delta_index_zlib,30088,0.02869415283203125,0.6935755284571586,13293
stage79_00023938,cows,q12,8,53,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.745336947234236,7.657588470429,40670,40385,40586,36086,delta_index_zlib,36086,0.03441429138183594,0.8318388234480533,7295
stage79_00025958,goat,q12,8,5,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.8859254846715485,6.557528396494379,34787,34606,34685,30352,delta_index_zlib,30352,0.0289459228515625,0.6996611419745972,13029
stage79_00025958,goat,q12,8,5,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.685972042060626,7.5958639106114045,40542,40357,40461,36153,delta_index_zlib,36153,0.034478187561035156,0.8333832783937668,7228
stage79_00026311,gold-fish,q12,4,2,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.89935804530438,6.568074734697255,35850,35727,35804,31044,delta_index_zlib,31044,0.029605865478515625,0.7156128258915193,12337
stage79_00026311,gold-fish,q12,4,2,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.65261328490448,7.523993476616369,39817,39589,39705,35102,delta_index_zlib,35102,0.03347587585449219,0.8091560821557825,8279
stage79_00028293,loading,q12,16,43,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.957078422307759,6.662718166236809,35636,35379,35589,30895,delta_index_zlib,30895,0.029463768005371094,0.7121781425047832,12486
stage79_00028293,loading,q12,16,43,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.7412967338379675,7.673017301715095,40954,40693,40912,36241,delta_index_zlib,36241,0.034562110900878906,0.835411816232913,7140
stage79_00028617,mbike-trick,q12,8,71,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.922633644293218,6.647988253726326,35487,34969,35653,30411,delta_index_zlib,30411,0.02900218963623047,0.7010211843894792,12970
stage79_00028617,mbike-trick,q12,8,71,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.661173447841054,7.603606783666137,40329,39821,40503,35329,delta_index_zlib,35329,0.033692359924316406,0.8143887877181254,8052
stage79_00021665,blackswan,q12,16,11,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.960577913640885,6.668851193791335,35719,35590,35701,31172,delta_index_zlib,31172,0.029727935791015625,0.7185634263848228,12209
stage79_00021665,blackswan,q12,16,11,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.735961635871461,7.663988789587218,41132,40960,41075,36565,delta_index_zlib,36565,0.03487110137939453,0.8428805237315876,6816
stage79_00027782,lab-coat,q12,16,21,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.967952171190412,6.674115163523659,35644,35412,35574,30788,delta_index_zlib,30788,0.029361724853515625,0.7097116249049122,12593
stage79_00027782,lab-coat,q12,16,21,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.747260297181299,7.676975389141634,40773,40510,40699,35970,delta_index_zlib,35970,0.03430366516113281,0.829164841750997,7411
stage79_00028022,libby,q12,16,17,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.975539648048062,6.702889711126257,36289,35967,36320,31440,delta_index_zlib,31440,0.0299835205078125,0.7247412461676771,11941
stage79_00028022,libby,q12,16,17,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.742802433410078,7.687175358013813,41176,40888,41226,36354,delta_index_zlib,36354,0.03466987609863281,0.8380166432309075,7027
stage79_00030151,pigs,q12,16,26,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.905307697820146,6.5768272904728615,34567,34334,34555,29870,delta_index_zlib,29870,0.028486251831054688,0.6885502869920012,13511
stage79_00030151,pigs,q12,16,26,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.689495616355214,7.59575230053632,40362,40080,40326,35697,delta_index_zlib,35697,0.034043312072753906,0.8228717641363731,7684
stage79_00030592,shooting,q12,16,20,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.868560442391905,6.55365413458099,34546,34218,34617,29396,delta_index_zlib,29396,0.028034210205078125,0.6776238445402365,13985
stage79_00030592,shooting,q12,16,20,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.639732904006166,7.539785475760971,39946,39573,39936,34891,delta_index_zlib,34891,0.03327465057373047,0.8042922016551025,8490
stage79_00030411,scooter-black,q12,16,41,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.904327039629687,6.576107971218814,34366,34039,34342,29295,delta_index_zlib,29295,0.027937889099121094,0.6752956363384892,14086
stage79_00030411,scooter-black,q12,16,41,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.683643005631772,7.587413186818757,40003,39646,39945,34940,delta_index_zlib,34940,0.033321380615234375,0.8054217284064452,8441
stage79_00021322,bike-packing,q12,4,55,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.816265050567912,6.473261163302244,33817,33637,33896,29278,delta_index_zlib,29278,0.027921676635742188,0.6749037597104723,14103
stage79_00021322,bike-packing,q12,4,55,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.588148954103249,7.464359259389857,38950,38720,38983,34380,delta_index_zlib,34380,0.032787322998046875,0.7925128512482423,9001
stage79_00027725,lab-coat,q12,8,3,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.934784186591755,6.634245690131314,35038,34880,35037,30325,delta_index_zlib,30325,0.02892017364501953,0.6990387496830409,13056
stage79_00027725,lab-coat,q12,8,3,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.708655803648848,7.630054715456684,40614,40377,40564,35901,delta_index_zlib,35901,0.03423786163330078,0.8275742836725756,7480
stage79_00021992,bmx-trees,q12,8,36,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.986259251627122,6.692280640560722,36226,36063,36162,31351,delta_index_zlib,31351,0.029898643493652344,0.722689656762177,12030
stage79_00021992,bmx-trees,q12,8,36,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.773775909905432,7.70214128107546,41280,41094,41177,36438,delta_index_zlib,36438,0.03474998474121094,0.8399529748046379,6943
stage79_00023488,car-shadow,q12,8,7,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.921132459563701,6.6329118933219515,34853,34549,34839,29795,delta_index_zlib,29795,0.02841472625732422,0.686821419515456,13586
stage79_00023488,car-shadow,q12,8,7,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.6997510196922825,7.637549875183988,40360,40091,40376,35437,delta_index_zlib,35437,0.03379535675048828,0.8168783568843503,7944
stage79_00026112,goat,q12,16,87,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.897732560986412,6.562346427305832,34628,34472,34544,30217,delta_index_zlib,30217,0.028817176818847656,0.6965491805168161,13164
stage79_00026112,goat,q12,16,87,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.705125331658987,7.6085998921646025,40527,40338,40415,36114,delta_index_zlib,36114,0.03444099426269531,0.8324842673059635,7267
stage79_00026651,horsejump-high,q12,4,30,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.971106405900742,6.6678449061395035,35503,35221,35479,30673,delta_index_zlib,30673,0.029252052307128906,0.7070606947742099,12708
stage79_00026651,horsejump-high,q12,4,30,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.740106646534117,7.641308361049335,40891,40576,40822,36079,delta_index_zlib,36079,0.034407615661621094,0.8316774624835758,7302
stage79_00021642,blackswan,q12,8,34,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.957820595916774,6.677610461541777,35817,35625,35806,31214,delta_index_zlib,31214,0.029767990112304688,0.719531592171688,12167
stage79_00021642,blackswan,q12,8,34,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.7122401373027705,7.6450742111396,40917,40707,40899,36329,delta_index_zlib,36329,0.034646034240722656,0.8374403540720592,7052
stage79_00022081,bmx-trees,q12,16,55,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.965996924196836,6.669681738233774,35856,35621,35798,30816,delta_index_zlib,30816,0.029388427734375,0.7103570687628225,12565
stage79_00022081,bmx-trees,q12,16,55,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.757169507326073,7.685903426245884,40920,40660,40851,35927,delta_index_zlib,35927,0.034262657165527344,0.8281736243977779,7454
stage79_00030306,scooter-black,q12,4,1,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.955315622375329,6.6599767204096985,35436,35139,35381,30616,delta_index_zlib,30616,0.02919769287109375,0.7057467554920357,12765
stage79_00030306,scooter-black,q12,4,1,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.728165900556693,7.647127416997765,40725,40438,40693,35969,delta_index_zlib,35969,0.034302711486816406,0.8291417901846431,7412
stage79_00024034,cows,q12,16,56,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.964909599562365,6.661269090417731,34881,34677,34877,30282,delta_index_zlib,30282,0.028879165649414062,0.6980475323298219,13099
stage79_00024034,cows,q12,16,56,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.761640140932253,7.678175458936941,40703,40441,40624,36093,delta_index_zlib,36093,0.03442096710205078,0.8320001844125309,7288
stage79_00022934,camel,q12,16,42,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.99332252658468,6.723148861544643,35883,35687,35858,31356,delta_index_zlib,31356,0.029903411865234375,0.7228049145939467,12025
stage79_00022934,camel,q12,16,42,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.758760704715439,7.703453717093758,40948,40726,40906,36420,delta_index_zlib,36420,0.034732818603515625,0.8395380466102672,6961
stage79_00026988,india,q12,4,42,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.927029782918288,6.604962549986146,34865,34652,34821,29631,delta_index_zlib,29631,0.028258323669433594,0.683040962633411,13750
stage79_00026988,india,q12,4,42,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.7262084679497685,7.624068347486653,40466,40205,40375,35330,delta_index_zlib,35330,0.03369331359863281,0.8144118392844794,8051
stage79_00031029,soapbox,q12,16,13,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.933350497618614,6.645530271612323,35606,35385,35567,30717,delta_index_zlib,30717,0.02929401397705078,0.708074963693783,12664
stage79_00031029,soapbox,q12,16,13,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.704305874713052,7.63396405696415,40768,40561,40733,36009,delta_index_zlib,36009,0.034340858459472656,0.8300638528388004,7372
stage79_00023317,car-roundabout,q12,16,35,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.925049160905492,6.611862111924668,34980,34618,34875,29926,delta_index_zlib,29926,0.028539657592773438,0.6898411747078214,13455
stage79_00023317,car-roundabout,q12,16,35,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.699978118555148,7.6136050789506236,40585,40284,40536,35622,delta_index_zlib,35622,0.03397178649902344,0.821142896659828,7759
stage79_00023819,cows,q12,4,6,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.930253470406334,6.603812077945216,33676,33505,33649,29158,delta_index_zlib,29158,0.027807235717773438,0.6721375717480003,14223
