task_id,sequence,codec,reference_gap,target_index,base_method,keep_fraction,keep_gaussians,side_bits,metadata_bits_per_attr_value,side_info_mib_per_intermediate_frame,base_psnr,sideinfo_psnr,delta_psnr_vs_base
stage79_00029696,parkour,q12,8,83,linear,0.25,9216,8,16,0.13188552856445312,16.598817972818342,21.43647991938757,4.837661946569227
stage79_00029696,parkour,q12,8,83,stage65_adapter,0.1,3686,6,16,0.041353702545166016,16.973858945248693,19.3660910002832,2.392232055034505
stage79_00029696,parkour,q12,8,83,stage65_adapter,0.1,3686,8,16,0.05277824401855469,16.973858945248693,19.366623028657685,2.3927640834089914
stage79_00029696,parkour,q12,8,83,stage65_adapter,0.25,9216,6,16,0.10332107543945312,16.973858945248693,21.58028998576924,4.6064310405205475
stage79_00029696,parkour,q12,8,83,stage65_adapter,0.25,9216,8,16,0.13188552856445312,16.973858945248693,21.592351234846706,4.618492289598013
stage79_00027304,judo,q12,16,9,linear,0.1,3686,6,16,0.041353702545166016,24.158958063438494,30.830440985994354,6.67148292255586
stage79_00027304,judo,q12,16,9,linear,0.1,3686,8,16,0.05277824401855469,24.158958063438494,30.845906840432647,6.686948776994154
stage79_00027304,judo,q12,16,9,linear,0.25,9216,6,16,0.10332107543945312,24.158958063438494,31.692982591301156,7.5340245278626625
stage79_00027304,judo,q12,16,9,linear,0.25,9216,8,16,0.13188552856445312,24.158958063438494,31.72421587309462,7.565257809656128
stage79_00027304,judo,q12,16,9,stage65_adapter,0.1,3686,6,16,0.041353702545166016,23.08400204611761,26.713896612760134,3.6298945666425233
stage79_00027304,judo,q12,16,9,stage65_adapter,0.1,3686,8,16,0.05277824401855469,23.08400204611761,26.718987399823387,3.634985353705776
stage79_00027304,judo,q12,16,9,stage65_adapter,0.25,9216,6,16,0.10332107543945312,23.08400204611761,27.702207459404114,4.618205413286503
stage79_00027304,judo,q12,16,9,stage65_adapter,0.25,9216,8,16,0.13188552856445312,23.08400204611761,27.715100176089283,4.631098129971672
stage79_00026745,horsejump-high,q12,16,41,linear,0.1,3686,6,16,0.041353702545166016,15.603721029251016,18.981178039719,3.3774570104679853
stage79_00026745,horsejump-high,q12,16,41,linear,0.1,3686,8,16,0.05277824401855469,15.603721029251016,18.98851389815198,3.3847928689009628
stage79_00026745,horsejump-high,q12,16,41,linear,0.25,9216,6,16,0.10332107543945312,15.603721029251016,22.530672552077057,6.926951522826041
stage79_00026745,horsejump-high,q12,16,41,linear,0.25,9216,8,16,0.13188552856445312,15.603721029251016,22.535276821672102,6.931555792421086
stage79_00026745,horsejump-high,q12,16,41,stage65_adapter,0.1,3686,6,16,0.041353702545166016,16.04432040174668,19.682717890005332,3.6383974882586507
stage79_00026745,horsejump-high,q12,16,41,stage65_adapter,0.1,3686,8,16,0.05277824401855469,16.04432040174668,19.693174235300596,3.6488538335539147
stage79_00026745,horsejump-high,q12,16,41,stage65_adapter,0.25,9216,6,16,0.10332107543945312,16.04432040174668,22.678966443092293,6.634646041345611
stage79_00026745,horsejump-high,q12,16,41,stage65_adapter,0.25,9216,8,16,0.13188552856445312,16.04432040174668,22.71421607820831,6.669895676461628
