task_id,sequence,reference_gap,setting_label,base_psnr,full_adapter_psnr,adapter_delta_psnr,adapter_delta_vs_base,mlp_psnr,mlp_delta_vs_base,mlp_delta_vs_adapter_delta,mlp_delta_vs_full_adapter,mlp_regresses_base,mlp_regresses_adapter_delta
stage79_00022423,breakdance,8,q4_top20,18.386035031581144,17.715492927485272,18.457049778227628,0.07101474664648322,18.492200590146894,0.10616555856574905,0.035150811919265834,0.7767076626616216,0,0
stage79_00022882,camel,8,q4_top20,19.078798005317868,20.19563170937669,19.307795642904416,0.22899763758654856,19.03349823926845,-0.045299766049417656,-0.2742974036359662,-1.162133470108241,1,1
stage79_00023225,car-roundabout,8,q4_top20,14.467989279085348,14.843436349507988,14.515032877876099,0.04704359879075071,14.463362697052691,-0.004626582032656756,-0.05167018082340746,-0.38007365245529634,1,1
stage79_00025066,dogs-jump,8,q4_top20,23.788700530499966,23.464897835204344,23.88110492305711,0.0924043925571425,23.37717801130921,-0.41152251919075766,-0.5039269117479002,-0.08771982389513511,1,1
stage79_00025587,drift-straight,8,q4_top20,13.080118936342377,13.49112850321552,13.135183936985,0.05506500064262276,13.233983348049227,0.1538644117068504,0.09879941106422763,-0.25714515516629355,0,0
stage79_00026369,gold-fish,8,q4_top20,22.467274398794288,22.732631477316584,22.533324502328327,0.06605010353403884,22.285246130263808,-0.18202826853048037,-0.24807837206451921,-0.44738534705277644,1,1
stage79_00026699,horsejump-high,8,q4_top20,19.303614300597623,20.580935132048698,19.736351604461994,0.43273730386437137,19.094444921910593,-0.20916937868702945,-0.6419066825514008,-1.4864902101381041,1,1
stage79_00027031,india,8,q4_top20,21.848984139798763,22.35785510776195,22.064412803745842,0.2154286639470797,20.852531719473188,-0.9964524203255749,-1.2118810842726546,-1.5053233882887618,1,1
stage79_00027268,judo,8,q4_top20,30.111798053470235,26.563695046436106,29.03939603849833,-1.0724020149719031,27.946791238977532,-2.1650068144927026,-1.0926047995207995,1.3830961925414265,1,1
stage79_00027489,kite-surf,8,q4_top20,20.376666809682952,20.82519232895038,20.60919555249633,0.2325287428133791,20.49161789044801,0.11495108076505645,-0.11757766204832265,-0.3335744385023709,0,1
