task_id,sequence,gap,codec,left_index,right_index,target_index,normalized_time,method,psnr,ssim,ms_ssim,lpips,linear_base_psnr,stage151_recovered_psnr,delta_psnr_vs_linear,delta_psnr_vs_stage151_recovered,linear_base_ssim,stage151_recovered_ssim,delta_ssim_vs_linear,delta_ssim_vs_stage151_recovered,linear_base_lpips,stage151_recovered_lpips,delta_lpips_vs_linear,delta_lpips_vs_stage151_recovered
stage79_00026682,horsejump-high,8,q12,16,24,20,0.5,original_streamsplat_middle_base,19.331592036926835,0.5360317826271057,0.7601414322853088,0.3474278450012207,16.50704082128097,20.07809714434451,2.824551215645865,-0.7465051074176756,0.42085030674934387,0.5668507814407349,0.11518147587776184,-0.03081899881362915,0.47981828451156616,0.43178802728652954,-0.13239043951034546,-0.08436018228530884
stage79_00029702,parkour,8,q12,88,96,90,0.25,original_streamsplat_middle_base,18.876960833363242,0.4150088131427765,0.7337730526924133,0.36471614241600037,16.846176794997575,19.137116949095635,2.030784038365667,-0.26015611573239283,0.23522353172302246,0.38179802894592285,0.17978528141975403,0.03321078419685364,0.5041804313659668,0.496758371591568,-0.13946428894996643,-0.13204222917556763
stage79_00028222,loading,8,q12,8,16,13,0.625,original_streamsplat_middle_base,19.692939822928896,0.6182807683944702,0.8401861786842346,0.30806538462638855,13.67374883558937,16.847325862705496,6.019190987339526,2.8456139602233996,0.2628229558467865,0.4289804995059967,0.3554578125476837,0.1893002688884735,0.5697727203369141,0.5465326309204102,-0.2617073357105255,-0.2384672462940216
stage79_00023234,car-roundabout,8,q12,8,16,15,0.875,original_streamsplat_middle_base,21.432177677808184,0.6940101981163025,0.9171691536903381,0.22634051740169525,16.24040098242391,20.216436853772052,5.191776695384274,1.215740824036132,0.4861983060836792,0.6324591636657715,0.2078118920326233,0.061551034450531006,0.30502966046333313,0.3020254969596863,-0.07868914306163788,-0.07568497955799103
stage79_00022838,camel,8,q12,16,24,23,0.875,original_streamsplat_middle_base,22.66682290919927,0.6754906177520752,0.9106489419937134,0.2583611011505127,18.822513821909812,20.87562826674926,3.8443090872894565,1.7911946424500087,0.35914352536201477,0.4821358919143677,0.3163470923900604,0.19335472583770752,0.2987329661846161,0.3184376060962677,-0.040371865034103394,-0.060076504945755005
stage79_00024684,dog,4,q12,4,8,6,0.5,original_streamsplat_middle_base,20.65554823615968,0.2616732716560364,0.5703935623168945,0.3862418532371521,20.027070004575087,22.344149717297768,0.6284782315845945,-1.688601481138086,0.2573842704296112,0.44376739859580994,0.004289001226425171,-0.18209412693977356,0.45310062170028687,0.4167436957359314,-0.06685876846313477,-0.030501842498779297
stage79_00027990,libby,8,q12,24,32,29,0.625,original_streamsplat_middle_base,20.04530262700406,0.3742057979106903,0.50444495677948,0.4824513792991638,17.27463958052293,19.49865575780683,2.770663046481129,0.5466468691972288,0.25810691714286804,0.3838557004928589,0.11609888076782227,-0.009649902582168579,0.6130380034446716,0.5790798664093018,-0.1305866241455078,-0.09662848711013794
stage79_00026019,goat,8,q12,72,80,75,0.375,original_streamsplat_middle_base,14.551624359461622,0.0891624465584755,0.15403105318546295,0.48763400316238403,14.884559932471928,17.23733293357901,-0.33293557301030674,-2.68570857411739,0.09589006751775742,0.3038075864315033,-0.006727620959281921,-0.2146451398730278,0.5343250036239624,0.5091736316680908,-0.04669100046157837,-0.021539628505706787
stage79_00027257,judo,4,q12,16,20,18,0.5,original_streamsplat_middle_base,26.808279316456826,0.8796327710151672,0.9279452562332153,0.2009381353855133,26.15245339379594,31.5501473563846,0.6558259226608847,-4.741868039927773,0.8740938305854797,0.9351055026054382,0.0055389404296875,-0.055472731590270996,0.1880967915058136,0.14737020432949066,0.012841343879699707,0.053567931056022644
stage79_00023453,car-shadow,4,q12,0,4,1,0.25,original_streamsplat_middle_base,24.76910890773587,0.7618911266326904,0.9438507556915283,0.2310839593410492,18.02739157979338,22.922336457886097,6.741717327942489,1.846772449849773,0.5370481610298157,0.6976377367973328,0.22484296560287476,0.06425338983535767,0.31765034794807434,0.3126417100429535,-0.08656638860702515,-0.0815577507019043
stage79_00021603,blackswan,4,q12,32,36,35,0.75,original_streamsplat_middle_base,24.27046557116167,0.6353294253349304,0.8735386729240417,0.30588680505752563,20.999790968151196,23.845691858178046,3.270674603010473,0.42477371298362243,0.4471403658390045,0.5964005589485168,0.1881890594959259,0.038928866386413574,0.3478258550167084,0.3361627757549286,-0.04193904995918274,-0.030275970697402954
stage79_00030326,scooter-black,4,q12,24,28,27,0.75,original_streamsplat_middle_base,18.30664684265685,0.6063134670257568,0.8361892700195312,0.30793511867523193,12.429353679536332,15.699782843765636,5.877293163120518,2.606863998891214,0.24108202755451202,0.4161384105682373,0.3652314394712448,0.19017505645751953,0.4691159129142761,0.4563337564468384,-0.1611807942390442,-0.14839863777160645
stage79_00026351,gold-fish,4,q12,52,56,55,0.75,original_streamsplat_middle_base,28.14234387415206,0.8421611189842224,0.9476826786994934,0.12499852478504181,27.495622336541373,30.95786015225812,0.6467215376106878,-2.8155162781060596,0.8260495066642761,0.8695088028907776,0.01611161231994629,-0.027347683906555176,0.14702989161014557,0.12525135278701782,-0.02203136682510376,-0.0002528280019760132
stage79_00030516,shooting,4,q12,4,8,7,0.75,original_streamsplat_middle_base,16.480213285118136,0.45187410712242126,0.6073439717292786,0.49156513810157776,14.975649179554292,18.106241922464474,1.5045641055638441,-1.6260286373463373,0.34196481108665466,0.47003746032714844,0.1099092960357666,-0.018163353204727173,0.5248819589614868,0.5215467214584351,-0.03331682085990906,-0.0299815833568573
stage79_00024429,dance-twirl,8,q12,64,72,68,0.5,original_streamsplat_middle_base,16.853718206786688,0.29407382011413574,0.5738440155982971,0.45683783292770386,17.72404773678725,20.904268166066764,-0.8703295300005607,-4.050549959280076,0.33685287833213806,0.4897126257419586,-0.04277905821800232,-0.19563880562782288,0.5029125213623047,0.4689469039440155,-0.04607468843460083,-0.012109071016311646
stage79_00021341,bike-packing,8,q12,8,16,11,0.375,original_streamsplat_middle_base,18.997018794340658,0.6225812435150146,0.7535206079483032,0.3519083261489868,18.380046730348305,23.105579530611134,0.6169720639923533,-4.108560736270476,0.6116682887077332,0.7264575958251953,0.010912954807281494,-0.10387635231018066,0.33402395248413086,0.2933337688446045,0.017884373664855957,0.058574557304382324
stage79_00028530,mbike-trick,4,q12,44,48,45,0.25,original_streamsplat_middle_base,26.127514373723404,0.7765615582466125,0.9447111487388611,0.28951871395111084,24.27694283420019,28.150962067349177,1.8505715395232123,-2.023447693625773,0.7572606205940247,0.8294164538383484,0.01930093765258789,-0.05285489559173584,0.25678902864456177,0.23908326029777527,0.03272968530654907,0.05043545365333557
stage79_00027043,india,8,q12,24,32,30,0.75,original_streamsplat_middle_base,17.664604255396718,0.5171011090278625,0.6032533645629883,0.5101820826530457,15.06093899760743,19.11471452161254,2.603665257789288,-1.4501102662158232,0.4405742585659027,0.5119674205780029,0.07652685046195984,0.005133688449859619,0.4885568916797638,0.4628632068634033,0.02162519097328186,0.047318875789642334
stage79_00029140,paragliding-launch,4,q12,56,60,59,0.75,original_streamsplat_middle_base,28.219261170247265,0.7697803974151611,0.9503514766693115,0.211481973528862,25.760664007664545,27.486512704087747,2.45859716258272,0.7327484661595172,0.5502709150314331,0.6458997130393982,0.21950948238372803,0.12388068437576294,0.3404850363731384,0.3358197510242462,-0.12900306284427643,-0.12433777749538422
stage79_00027486,kite-surf,8,q12,0,8,2,0.25,original_streamsplat_middle_base,22.16251036940089,0.45570436120033264,0.6301705241203308,0.2987256646156311,21.425849961075674,24.404054815422903,0.7366604083252177,-2.2415444460220115,0.41541242599487305,0.5442467331886292,0.040291935205459595,-0.08854237198829651,0.3158206343650818,0.3015730381011963,-0.017094969749450684,-0.0028473734855651855
stage79_00024728,dog,8,q12,0,8,5,0.625,original_streamsplat_middle_base,21.521303215025277,0.36079224944114685,0.6203567981719971,0.4600203037261963,19.717728967685684,22.53765080039594,1.8035742473395935,-1.0163475853706636,0.28513023257255554,0.4581056833267212,0.07566201686859131,-0.09731343388557434,0.49199944734573364,0.4642108976840973,-0.031979143619537354,-0.004190593957901001
stage79_00027942,libby,4,q12,16,20,18,0.5,original_streamsplat_middle_base,19.99272051460834,0.3566756248474121,0.5189129114151001,0.43874070048332214,17.96988135479232,20.71464593682613,2.0228391598160194,-0.7219254222177902,0.2895582616329193,0.4239383935928345,0.0671173632144928,-0.06726276874542236,0.5416662693023682,0.5133900046348572,-0.10292556881904602,-0.07464930415153503
stage79_00025050,dogs-jump,8,q12,8,16,10,0.25,original_streamsplat_middle_base,24.67442190780495,0.7807900309562683,0.8886072635650635,0.2702594995498657,21.747043898617665,28.090891118745645,2.927378009187283,-3.416469210940697,0.7175148129463196,0.7928447127342224,0.06327521800994873,-0.012054681777954102,0.25887396931648254,0.21930664777755737,0.011385530233383179,0.05095285177230835
