sequence,frame_index,adaptive_psnr,adaptive_ssim,adaptive_ms_ssim,adaptive_lpips,adaptive_payload_bytes,gap8_psnr,gap8_lpips,gap4_psnr,gap4_lpips,delta_psnr_gap4_vs_adaptive,delta_lpips_gap4_vs_adaptive,low_psnr_flag,high_lpips_flag,high_payload_flag,risk_score
cows,86,24.69384433589081,0.7697415351867676,0.9755573868751526,0.20990946888923645,229076,24.69384433589081,0.20990946888923645,24.69706119032409,0.2108345925807953,0.003216854433279792,0.0009251236915588379,1,0,1,1.487675664109191
cows,45,24.692020393955296,0.7664206624031067,0.9749736785888672,0.21497687697410583,228795,24.70974431845275,0.21417918801307678,24.705203248705597,0.21452991664409637,0.013182854750301232,-0.00044696033000946045,1,0,1,1.4838796060447037
cows,76,24.661972708495522,0.7679746747016907,0.9751708507537842,0.20800209045410156,227010,24.661972708495522,0.20800209045410156,24.73813210874365,0.20409812033176422,0.07615940024812673,-0.0039039701223373413,1,0,1,1.4782272915044778
cows,97,24.673085339992532,0.7749554514884949,0.9764597415924072,0.20553597807884216,227500,24.673085339992532,0.20553597807884216,24.669207291708485,0.20569981634616852,-0.003878048284047253,0.00016383826732635498,1,0,1,1.4769146600074676
cows,34,24.52352112058812,0.7612940669059753,0.9746547937393188,0.21493566036224365,204209,24.52352112058812,0.21493566036224365,24.553990645916265,0.21407049894332886,0.03046952532814373,-0.0008651614189147949,1,0,0,1.4764788794118786
cows,59,24.68023984808116,0.7670412063598633,0.9752452969551086,0.20861652493476868,227222,24.619097956864184,0.20825770497322083,24.68023984808116,0.20861652493476868,0.0,0.0,1,0,1,1.4642001519188388
libby,12,31.053266419665093,0.8107702136039734,0.9701499938964844,0.25739237666130066,255445,31.053266419665093,0.25739237666130066,34.905396545502235,0.09012963622808456,3.8521301258371423,-0.1672627404332161,0,1,1,1.4567475332260131
cows,30,24.576806229476425,0.7653405070304871,0.9750185012817383,0.21043948829174042,221138,24.576806229476425,0.21043948829174042,24.623792619178964,0.21013231575489044,0.0469863897025391,-0.0003071725368499756,1,0,1,1.445953770523575
cows,58,24.835669115900227,0.7743380069732666,0.9757844805717468,0.20581531524658203,233981,24.833272261306846,0.20732562243938446,24.835669115900227,0.20581531524658203,0.0,0.0,1,0,1,1.4439508840997726
cows,74,24.62925446977751,0.7659446597099304,0.9746878147125244,0.2125951051712036,223175,24.62925446977751,0.2125951051712036,24.648881301175397,0.21012680232524872,0.019626831397886235,-0.002468302845954895,1,0,1,1.4342455302224892
mbike-trick,61,29.301923172672062,0.8305427432060242,0.9793623685836792,0.29095274209976196,197488,29.301923172672062,0.29095274209976196,29.791405795970963,0.22535395622253418,0.48948262329890113,-0.06559878587722778,0,1,0,1.4190548419952393
cows,11,24.581635703631534,0.7648686766624451,0.9744718074798584,0.2138662189245224,216923,24.61862639731528,0.2119632065296173,24.644964685274424,0.21278277039527893,0.06332898164288991,-0.0010834485292434692,1,0,0,1.4183642963684662
cows,23,24.630599640621554,0.7699639201164246,0.9754558205604553,0.21213586628437042,222294,24.629652603984606,0.21221283078193665,24.619004812472976,0.21323175728321075,-0.011594828148577818,0.001095890998840332,1,0,1,1.4152803593784458
parkour,28,28.12453517127786,0.7696149945259094,0.967555046081543,0.27742862701416016,233056,28.12453517127786,0.27742862701416016,29.830016143720503,0.15472280979156494,1.7054809724426434,-0.12270581722259521,0,1,1,1.4096925402832032
cows,65,24.591225518946622,0.764599084854126,0.9749809503555298,0.21170763671398163,218300,24.591225518946622,0.21170763671398163,24.58700463556613,0.21223528683185577,-0.004220883380490648,0.0005276501178741455,1,0,0,1.4087744810533778
cows,49,24.71449403837299,0.7675644755363464,0.9752456545829773,0.21487291157245636,226058,24.71449403837299,0.21487291157245636,24.70157524146461,0.21488112211227417,-0.012918796908380159,8.210539817810059e-06,1,0,1,1.4066659616270096
cows,18,24.72825628403327,0.7736783623695374,0.9760958552360535,0.2010461688041687,226697,24.726227788745806,0.201643168926239,24.701002706584543,0.20204731822013855,-0.027253577448728805,0.0010011494159698486,1,0,1,1.4056837159667284
mbike-trick,74,28.840742276675545,0.8342376351356506,0.9777358174324036,0.2901071608066559,211049,28.840742276675545,0.2901071608066559,28.65121538625796,0.3012588322162628,-0.18952689041758575,0.011151671409606934,0,1,0,1.4021432161331178
mbike-trick,60,29.15614909900914,0.8258976936340332,0.9774317145347595,0.29005569219589233,206116,29.15614909900914,0.29005569219589233,30.04480709503905,0.16213136911392212,0.8886579960299095,-0.12792432308197021,0,1,0,1.4011138439178468
motocross-jump,26,32.3014736063107,0.8890312314033508,0.9815503358840942,0.27787649631500244,232025,32.3014736063107,0.27787649631500244,30.730627477235156,0.3742786645889282,-1.5708461290755444,0.09640216827392578,0,1,1,1.3980299263000489
camel,60,25.268554914098644,0.7880573272705078,0.9782950282096863,0.19869861006736755,253101,25.268554914098644,0.19869861006736755,25.388386850152344,0.1903914362192154,0.1198319360536999,-0.00830717384815216,1,0,1,1.3934650859013562
