schedule,sequence,frame_count,keyframe_count,mean_psnr,p10_psnr,mean_lpips,p90_lpips,mean_payload_bytes,delta_psnr_vs_gap8,delta_lpips_vs_gap8
uniform_gap8,bike-packing,69,10,25.907572398108396,25.084459228698876,0.19786563839601434,0.22394593358039855,154852.3188405797,0.0,0.0
uniform_gap8,blackswan,50,8,29.84928276586321,29.40026119056854,0.16459796249866485,0.18240012377500534,197432.94,0.0,0.0
uniform_gap8,bmx-trees,80,11,30.168796453660843,26.31155101800206,0.1475782547146082,0.21557936668395997,212850.5125,0.0,0.0
uniform_gap8,breakdance,84,12,25.456154199737064,25.061835275510724,0.17638299241662025,0.19735483825206757,123353.40476190476,0.0,0.0
uniform_gap8,camel,90,13,25.70935281915452,25.37667157701943,0.18795976605680254,0.19828086942434311,201135.0888888889,0.0,0.0
uniform_gap8,car-roundabout,75,11,26.81097457969073,25.85760984096376,0.15020045290390652,0.1646907925605774,198768.34666666668,0.0,0.0
uniform_gap8,car-shadow,40,6,29.587258583495792,29.328249599827295,0.1494787635281682,0.1722609966993332,190895.275,0.0,0.0
uniform_gap8,cows,104,14,24.65693419004488,24.539398238481382,0.20997499445310006,0.21491683572530745,194601.5576923077,0.0,0.0
uniform_gap8,dance-twirl,90,13,28.380928212695956,26.414573723617018,0.2100668552849028,0.2553792834281921,186700.22222222222,0.0,0.0
uniform_gap8,dog,60,9,31.729645889930733,29.352801594538153,0.16872459252675373,0.21328420042991642,201096.56666666668,0.0,0.0
uniform_gap8,dogs-jump,66,10,32.00947529644536,31.232542179015773,0.15720611946149307,0.2275671511888504,133078.57575757575,0.0,0.0
uniform_gap8,drift-chicane,52,8,30.790948734840256,30.310828222806922,0.18265184530845055,0.20433542579412461,102393.36538461539,0.0,0.0
uniform_gap8,drift-straight,50,8,30.817770017041674,29.222745803546864,0.12668630219995974,0.19541012942790986,212378.08,0.0,0.0
uniform_gap8,goat,90,13,27.24853641062277,26.57143315405636,0.17403246445788279,0.1828912392258644,211745.8111111111,0.0,0.0
uniform_gap8,gold-fish,78,11,33.52147658187607,33.07643299857011,0.07741329809411979,0.08759709522128105,178373.87179487178,0.0,0.0
uniform_gap8,horsejump-high,50,8,27.815317167163368,27.495280576646262,0.1616956488788128,0.19090929776430132,181805.0,0.0,0.0
uniform_gap8,india,81,11,32.95254857679616,31.048098273801372,0.15484445183365433,0.24495425820350647,199303.38271604938,0.0,0.0
uniform_gap8,judo,34,6,31.277785481000585,30.619971072619407,0.16289897876627304,0.20512740314006805,95493.91176470589,0.0,0.0
uniform_gap8,kite-surf,50,8,32.02484338941261,31.548992818350055,0.10374320238828659,0.11418097391724587,186401.74,0.0,0.0
uniform_gap8,lab-coat,47,7,29.087684524799105,26.825112920606685,0.1611311361193657,0.22790797352790831,195938.44680851063,0.0,0.0
uniform_gap8,libby,49,7,32.610818591425044,31.18739918015854,0.1678566558628666,0.23510709404945374,219062.24489795917,0.0,0.0
uniform_gap8,loading,50,8,28.521059126687593,27.30069494445752,0.1328144219517708,0.16811812669038773,198052.7,0.0,0.0
uniform_gap8,mbike-trick,79,11,29.92433375659513,29.27276835793948,0.21783426139928116,0.28598425388336185,157727.48101265822,0.0,0.0
uniform_gap8,motocross-jump,40,6,33.6262257224463,31.028650417090862,0.2053048126399517,0.32057895958423616,198848.85,0.0,0.0
uniform_gap8,paragliding-launch,80,11,30.92775071377444,29.51794552398617,0.17496945187449456,0.19086637794971464,186789.275,0.0,0.0
uniform_gap8,parkour,100,14,27.395125611638683,25.471964872411412,0.20412390813231468,0.2364539876580238,197833.65,0.0,0.0
uniform_gap8,pigs,79,11,31.533248137505076,30.46826427546325,0.16034789072184624,0.18385129570960998,169667.15189873418,0.0,0.0
uniform_gap8,scooter-black,43,7,26.12353024528448,24.738689420891895,0.16887449992950573,0.20753913819789888,198256.11627906977,0.0,0.0
uniform_gap8,shooting,40,6,34.35039679112229,32.68306439099093,0.1691849095746875,0.2797676801681519,202892.225,0.0,0.0
uniform_gap8,soapbox,99,14,30.37829782107452,29.306711032083605,0.15610182691704144,0.20843754708766937,201184.48484848486,0.0,0.0
