sequence,frame_index,cell_id,selector_score,vote_count,hard_quality_label,high_payload_label,gap8_psnr,adaptive_psnr,delta_psnr_adaptive_vs_gap8,gap8_ssim,adaptive_ssim,delta_ssim_adaptive_vs_gap8,gap8_ms_ssim,adaptive_ms_ssim,delta_ms_ssim_adaptive_vs_gap8,gap8_lpips,adaptive_lpips,delta_lpips_adaptive_vs_gap8,gap8_residual_payload_bytes,adaptive_keyframe_bitstream_bytes,local_payload_delta_bytes,false_positive_risk_flag,false_positive_reason
motocross-jump,22,motocross-jump:00016:00024,4.904201680672269,4.0,1,1,32.5164000615395,34.7230078658803,2.2066078043407984,0.8912079334259033,0.9633579254150391,0.07214999198913574,0.9843894243240356,0.9958063960075378,0.011416971683502197,0.2462158203125,0.0886726826429367,-0.1575431376695633,247931,719650,471719,0,large_local_payload_delta
lab-coat,36,lab-coat:00032:00040,5.786554621848739,5.0,0,1,30.54616737053728,32.24545153013061,1.6992841595933292,0.8944957256317139,0.9464114308357239,0.05191570520401001,0.9868672490119934,0.9945157170295715,0.007648468017578125,0.15815599262714386,0.09313465654850006,-0.0650213360786438,252745,719645,466900,0,large_local_payload_delta
scooter-black,27,scooter-black:00024:00032,5.936134453781513,5.0,0,1,26.220082310617645,27.713556522695647,1.4934742120780022,0.8713700175285339,0.9219490885734558,0.050579071044921875,0.9827228784561157,0.9919602870941162,0.009237408638000488,0.1868729144334793,0.10311788320541382,-0.08375503122806549,249791,719651,469860,0,large_local_payload_delta
scooter-black,37,scooter-black:00032:00040,5.942857142857143,5.0,0,1,26.678094504640658,28.097367281659643,1.4192727770189855,0.8843612670898438,0.9319415092468262,0.04758024215698242,0.9845383763313293,0.9929674863815308,0.008429110050201416,0.1768045574426651,0.09160283207893372,-0.08520172536373138,258878,719649,460771,0,large_local_payload_delta
libby,38,libby:00032:00040,1.4991596638655462,1.0,0,1,33.314345638396404,34.62579354682394,1.3114479084275388,0.8904523253440857,0.9269037246704102,0.03645139932632446,0.9856672883033752,0.9918859601020813,0.006218671798706055,0.15972508490085602,0.10688602924346924,-0.05283905565738678,258286,719650,461364,0,large_local_payload_delta
drift-straight,19,drift-straight:00016:00024,5.9714285714285715,5.0,0,1,30.24160874875735,31.472211910625493,1.2306031618681423,0.9310207962989807,0.9562952518463135,0.025274455547332764,0.9913894534111023,0.9950805306434631,0.00369107723236084,0.11666910350322723,0.06187102943658829,-0.05479807406663895,260248,719640,459392,0,large_local_payload_delta
lab-coat,35,lab-coat:00032:00040,5.796638655462185,5.0,0,1,31.24191985281421,32.40765846601811,1.165738613203903,0.9109821915626526,0.9456174969673157,0.034635305404663086,0.9888133406639099,0.9943901300430298,0.005576789379119873,0.14145731925964355,0.09590403735637665,-0.04555328190326691,249854,719644,469790,0,large_local_payload_delta
dogs-jump,10,dogs-jump:00008:00016,1.3092436974789916,1.0,0,0,31.592337666034133,32.6332003134894,1.0408626474552634,0.8600488305091858,0.9007654786109924,0.04071664810180664,0.9806836843490601,0.9893344640731812,0.008650779724121094,0.18272162973880768,0.10117612779140472,-0.08154550194740295,155834,719644,563810,0,no_stage187_hard_or_payload_label large_local_payload_delta
motocross-jump,23,motocross-jump:00016:00024,4.8957983193277315,4.0,1,1,33.73844076849572,34.72708118783171,0.9886404193359866,0.9318172335624695,0.963740885257721,0.031923651695251465,0.9887608885765076,0.9955734610557556,0.006812572479248047,0.19366052746772766,0.09358599781990051,-0.10007452964782715,236248,719649,483401,0,large_local_payload_delta
soapbox,78,soapbox:00072:00080,5.7478991596638656,5.0,0,1,31.189534213328315,32.112666582019756,0.9231323686914408,0.9147575497627258,0.9357343316078186,0.020976781845092773,0.9893245100975037,0.9934782981872559,0.004153788089752197,0.12852871417999268,0.08943434059619904,-0.03909437358379364,243629,719643,476014,0,large_local_payload_delta
libby,17,libby:00016:00024,1.5697478991596638,1.0,0,1,33.643754838021806,34.56307675162756,0.9193219136057564,0.9036145210266113,0.9267833232879639,0.02316880226135254,0.9862979054450989,0.9911895394325256,0.004891633987426758,0.13125832378864288,0.08847600966691971,-0.042782314121723175,245152,719654,474502,0,large_local_payload_delta
loading,35,loading:00032:00040,5.904201680672269,5.0,0,1,28.59930545190832,29.501242100690448,0.9019366487821259,0.9030982851982117,0.9357756972312927,0.032677412033081055,0.9872328639030457,0.992785632610321,0.005552768707275391,0.16880497336387634,0.09705354273319244,-0.0717514306306839,247594,719653,472059,0,large_local_payload_delta
horsejump-high,20,horsejump-high:00016:00024,1.584873949579832,1.0,0,1,27.518317194092944,28.416793896795618,0.8984767027026734,0.824321448802948,0.8932857513427734,0.06896430253982544,0.9765770435333252,0.9895028471946716,0.012925803661346436,0.20817922055721283,0.13596047461032867,-0.07221874594688416,226876,719647,492771,0,large_local_payload_delta
shooting,7,shooting:00000:00008,4.705882352941177,4.0,0,1,35.399850024398525,36.14975274651963,0.7499027221211065,0.9470686912536621,0.9641492962837219,0.017080605030059814,0.9913707971572876,0.9958207011222839,0.004449903964996338,0.14271456003189087,0.08117498457431793,-0.06153957545757294,240419,719646,479227,0,large_local_payload_delta
shooting,9,shooting:00008:00016,4.8504201680672265,4.0,0,1,34.74841803971529,35.463360633242765,0.7149425935274749,0.9445244669914246,0.9614808559417725,0.0169563889503479,0.9920098185539246,0.9959186315536499,0.003908812999725342,0.12307791411876678,0.06560205668210983,-0.05747585743665695,233910,719651,485741,0,large_local_payload_delta
