candidate,sequence,frame_index,full_type,candidate_type,full_psnr,candidate_psnr,delta_psnr_candidate_vs_full,gap8_psnr,delta_psnr_candidate_vs_gap8,full_lpips,candidate_lpips,delta_lpips_candidate_vs_full,gap8_lpips,delta_lpips_candidate_vs_gap8,candidate_payload_bytes
interval_score_ge4p0,car-roundabout,30,stage158_residual_recovery,stage158_residual_recovery,27.55222140392759,27.484686948808132,-0.067534455119457,27.484686948808132,0.0,0.14545203745365143,0.1496141254901886,0.00416208803653717,0.1496141254901886,0.0,233120
interval_score_ge4p0,car-shadow,18,stage158_residual_recovery,stage158_residual_recovery,29.673836071605347,29.60633319702818,-0.06750287457716553,29.60633319702818,0.0,0.14765295386314392,0.15509554743766785,0.007442593574523926,0.15509554743766785,0.0,224621
interval_score_ge4p0,kite-surf,5,stage158_residual_recovery,stage158_residual_recovery,32.37830430866066,32.312766040765,-0.0655382678956613,32.312766040765,0.0,0.09254077076911926,0.09739825129508972,0.004857480525970459,0.09739825129508972,0.0,227154
interval_score_ge4p0,drift-chicane,37,stage158_residual_recovery,stage158_residual_recovery,30.785249157237452,30.721388311831504,-0.06386084540594794,30.721388311831504,0.0,0.1826762557029724,0.19453036785125732,0.011854112148284912,0.19453036785125732,0.0,123971
interval_score_ge4p0,camel,75,q12_keyframe,stage158_residual_recovery,25.397419219921126,25.33525090733781,-0.06216831258331723,25.33525090733781,0.0,0.1921868622303009,0.19907504320144653,0.00688818097114563,0.19907504320144653,0.0,244230
interval_score_ge4p0,cows,21,stage158_residual_recovery,stage158_residual_recovery,24.68284824948284,24.621140019800897,-0.061708229681944005,24.621140019800897,0.0,0.2072567343711853,0.2070951908826828,-0.00016154348850250244,0.2070951908826828,0.0,243430
interval_score_ge4p0,cows,59,stage158_residual_recovery,stage158_residual_recovery,24.68023984808116,24.619097956864184,-0.061141891216976774,24.619097956864184,0.0,0.20861652493476868,0.20825770497322083,-0.00035881996154785156,0.20825770497322083,0.0,232706
interval_score_ge4p0,cows,19,q12_keyframe,stage158_residual_recovery,24.745207711863518,24.684692726655463,-0.060514985208055094,24.684692726655463,0.0,0.203828826546669,0.209196537733078,0.005367711186408997,0.209196537733078,0.0,238627
interval_score_ge4p0,cows,20,stage158_residual_recovery,stage158_residual_recovery,24.60900780621655,24.549304499811132,-0.05970330640541732,24.549304499811132,0.0,0.21334096789360046,0.21066240966320038,-0.0026785582304000854,0.21066240966320038,0.0,238095
interval_score_ge4p0,camel,22,stage158_residual_recovery,stage158_residual_recovery,26.090375406945018,26.03236370882258,-0.05801169812243856,26.03236370882258,0.0,0.17651571333408356,0.1801862120628357,0.0036704987287521362,0.1801862120628357,0.0,236436
interval_score_ge4p0,cows,15,q12_keyframe,stage158_residual_recovery,24.778253163417915,24.730369268677105,-0.04788389474081001,24.730369268677105,0.0,0.20021969079971313,0.20459407567977905,0.004374384880065918,0.20459407567977905,0.0,207963
