task_id,sequence,gap,codec,target_index,normalized_time,method,side_bits,psnr,ssim,ms_ssim,lpips,payload_bytes,side_mib_per_intermediate,q12_main_anchor_mib_per_frame_ref,direct_total_mib_per_frame_ref,delta_psnr_vs_original,delta_ssim_vs_original,delta_ms_ssim_vs_original,delta_lpips_vs_original
stage79_00025050,dogs-jump,8,q12,10,0.25,image_residual_sideinfo_full_frame,6,45.1110211626188,0.9821544289588928,0.9977021217346191,0.03221355378627777,152465,0.1454019546508789,0.09762538675351436,0.24302734140439325,20.43659925481385,0.2013643980026245,0.10909485816955566,-0.23804594576358795
stage79_00029217,paragliding-launch,8,q12,71,0.875,original_streamsplat_base,0,27.16749528093416,0.6395223140716553,0.9103949069976807,0.27574822306632996,0,0.0,0.09762538675351436,0.09762538675351436,0.0,0.0,0.0,0.0
stage79_00029217,paragliding-launch,8,q12,71,0.875,image_residual_sideinfo_full_frame,3,28.994844076560224,0.7226821780204773,0.9412338733673096,0.26288464665412903,20955,0.01998424530029297,0.09762538675351436,0.11760963205380733,1.8273487956260652,0.08315986394882202,0.030838966369628906,-0.012863576412200928
stage79_00029217,paragliding-launch,8,q12,71,0.875,image_residual_sideinfo_full_frame,4,31.146979840061878,0.7650523781776428,0.9526711106300354,0.20557372272014618,73987,0.07055950164794922,0.09762538675351436,0.16818488840146356,3.9794845591277195,0.12553006410598755,0.042276203632354736,-0.07017450034618378
stage79_00029217,paragliding-launch,8,q12,71,0.875,image_residual_sideinfo_full_frame,5,38.22791929190221,0.932831346988678,0.9899942278862,0.0548592247068882,137586,0.1312122344970703,0.09762538675351436,0.22883762125058466,11.060424010968052,0.2933090329170227,0.07959932088851929,-0.22088899835944176
stage79_00029217,paragliding-launch,8,q12,71,0.875,image_residual_sideinfo_full_frame,6,44.45201083977241,0.9827101826667786,0.997592031955719,0.014838995411992073,191971,0.18307781219482422,0.09762538675351436,0.28070319894833856,17.284515558838255,0.3431878685951233,0.08719712495803833,-0.2609092276543379
stage79_00021633,blackswan,8,q12,23,0.875,original_streamsplat_base,0,22.761693626991594,0.5399059653282166,0.8388106226921082,0.3379361033439636,0,0.0,0.09762538675351436,0.09762538675351436,0.0,0.0,0.0,0.0
stage79_00021633,blackswan,8,q12,23,0.875,image_residual_sideinfo_full_frame,3,26.305238429908194,0.7240692973136902,0.9384524822235107,0.3156116306781769,46469,0.04431629180908203,0.09762538675351436,0.14194167856259637,3.5435448029165997,0.18416333198547363,0.09964185953140259,-0.022324472665786743
stage79_00021633,blackswan,8,q12,23,0.875,image_residual_sideinfo_full_frame,4,31.764935799230706,0.8690947890281677,0.9810467958450317,0.16744717955589294,87029,0.08299732208251953,0.09762538675351436,0.18062270883603387,9.003242172239112,0.32918882369995117,0.14223617315292358,-0.17048892378807068
stage79_00021633,blackswan,8,q12,23,0.875,image_residual_sideinfo_full_frame,5,37.905999757442636,0.9578588008880615,0.9950953722000122,0.05325623229146004,170437,0.16254138946533203,0.09762538675351436,0.2601667762188464,15.144306130451042,0.41795283555984497,0.15628474950790405,-0.2846798710525036
stage79_00021633,blackswan,8,q12,23,0.875,image_residual_sideinfo_full_frame,6,44.025032360004126,0.9888995289802551,0.9987794160842896,0.011564595624804497,226877,0.21636676788330078,0.09762538675351436,0.3139921546368151,21.26333873301253,0.4489935636520386,0.1599687933921814,-0.3263715077191591
stage79_00030018,pigs,4,q12,23,0.75,original_streamsplat_base,0,27.787532022533988,0.7937884330749512,0.947754442691803,0.21606674790382385,0,0.0,0.18193822076791313,0.18193822076791313,0.0,0.0,0.0,0.0
