sequence,frame_index,chosen_schedule,final_type,measurement_key,psnr,ssim,ms_ssim,lpips
dance-twirl,36,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00036,29.84726009177029,0.8923280239105225,0.9894894361495972,0.15423455834388733
dance-twirl,37,uniform_gap6,stage158_residual_recovery,residual::dance-twirl:00037:00036:00042,28.107432534905442,0.8371499180793762,0.9820722937583923,0.22860702872276306
dance-twirl,38,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00038,27.0213049393028,0.8288558125495911,0.9851640462875366,0.22234167158603668
dance-twirl,39,uniform_gap8,stage158_residual_recovery,residual::dance-twirl:00039:00032:00040,27.713276704658,0.8434540629386902,0.9835047125816345,0.2172292321920395
dance-twirl,4,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00004,29.097094397962657,0.8497020602226257,0.9864255785942078,0.19103221595287323
dance-twirl,40,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00040,28.13658770784498,0.8552573323249817,0.9868193864822388,0.19361412525177002
dance-twirl,41,uniform_gap8,stage158_residual_recovery,residual::dance-twirl:00041:00040:00048,28.1892523525752,0.8502232432365417,0.9838228225708008,0.20617921650409698
dance-twirl,42,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00042,27.42472361912644,0.8419576287269592,0.9861171841621399,0.20064647495746613
dance-twirl,43,uniform_gap6,stage158_residual_recovery,residual::dance-twirl:00043:00042:00048,27.672965521568912,0.8410080075263977,0.9832842946052551,0.22055380046367645
dance-twirl,44,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00044,27.71210029244439,0.8454769253730774,0.9867414236068726,0.20529673993587494
dance-twirl,45,uniform_gap16,stage158_residual_recovery,residual::dance-twirl:00045:00032:00048,27.101172321934563,0.8189409375190735,0.9817071557044983,0.2347235083580017
dance-twirl,46,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00046,26.448045755659095,0.8118504881858826,0.983455240726471,0.22426708042621613
dance-twirl,47,uniform_gap16,stage158_residual_recovery,residual::dance-twirl:00047:00032:00048,26.358801253344417,0.8061415553092957,0.9807361364364624,0.2430608868598938
dance-twirl,48,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00048,27.632698505990554,0.8420585989952087,0.9860225319862366,0.20607693493366241
dance-twirl,49,uniform_gap16,stage158_residual_recovery,residual::dance-twirl:00049:00048:00064,28.88660187693697,0.8767907023429871,0.9861555695533752,0.18095660209655762
dance-twirl,5,uniform_gap6,stage158_residual_recovery,residual::dance-twirl:00005:00000:00006,28.96339336744161,0.8412415385246277,0.9834655523300171,0.2149304449558258
dance-twirl,50,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00050,29.063536685743795,0.8829874992370605,0.9890199303627014,0.16569600999355316
dance-twirl,51,uniform_gap2,stage158_residual_recovery,residual::dance-twirl:00051:00050:00052,28.89607929309654,0.8784127235412598,0.986380398273468,0.18406903743743896
dance-twirl,52,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00052,28.90349680049882,0.8800985813140869,0.9888561964035034,0.16504153609275818
dance-twirl,53,uniform_gap6,stage158_residual_recovery,residual::dance-twirl:00053:00048:00054,28.366971732727734,0.8671048283576965,0.984824538230896,0.19238954782485962
dance-twirl,54,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00054,27.963295049960383,0.8616769909858704,0.987603485584259,0.1965356469154358
dance-twirl,55,uniform_gap2,stage158_residual_recovery,residual::dance-twirl:00055:00054:00056,27.249058924239556,0.8428680300712585,0.9838609099388123,0.2200699746608734
dance-twirl,56,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00056,27.30656333211998,0.8490917086601257,0.986513614654541,0.20153780281543732
dance-twirl,57,uniform_gap8,stage158_residual_recovery,residual::dance-twirl:00057:00056:00064,27.753933009532314,0.8454194068908691,0.9842979907989502,0.22121605277061462
dance-twirl,58,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00058,26.94068143085655,0.8243875503540039,0.9844860434532166,0.2234373837709427
dance-twirl,59,uniform_gap6,stage158_residual_recovery,residual::dance-twirl:00059:00054:00060,26.25013411240285,0.8008368015289307,0.9803200960159302,0.24443694949150085
dance-twirl,6,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00006,29.72599567994127,0.8595779538154602,0.9873332381248474,0.17711636424064636
dance-twirl,60,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00060,26.69303900059274,0.8155023455619812,0.9837160110473633,0.23018261790275574
dance-twirl,61,uniform_gap6,stage158_residual_recovery,residual::dance-twirl:00061:00060:00066,26.714799634175655,0.8074501156806946,0.9806312322616577,0.24179799854755402
dance-twirl,62,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00062,26.697432706311606,0.8128297328948975,0.9833990335464478,0.2322474718093872
dance-twirl,63,uniform_gap16,stage158_residual_recovery,residual::dance-twirl:00063:00048:00064,26.323380061060714,0.8037614226341248,0.9806885123252869,0.237836092710495
dance-twirl,64,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00064,26.57938137557728,0.8110330104827881,0.9833115935325623,0.2300632745027542
dance-twirl,65,uniform_gap2,stage158_residual_recovery,residual::dance-twirl:00065:00064:00066,26.471373582811037,0.802456796169281,0.9800830483436584,0.24865153431892395
dance-twirl,66,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00066,26.495983354245535,0.8113282322883606,0.9832810759544373,0.2301143854856491
dance-twirl,67,uniform_gap6,stage158_residual_recovery,residual::dance-twirl:00067:00066:00072,26.731332017297778,0.8104354739189148,0.9806905388832092,0.2418750822544098
dance-twirl,68,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00068,27.017210746533372,0.8219904899597168,0.983790934085846,0.22935819625854492
dance-twirl,69,uniform_gap4,stage158_residual_recovery,residual::dance-twirl:00069:00068:00072,27.228248201094985,0.823438823223114,0.982171893119812,0.24270115792751312
dance-twirl,7,uniform_gap8,stage158_residual_recovery,residual::dance-twirl:00007:00000:00008,29.498211532990023,0.8550562262535095,0.9835546612739563,0.17751550674438477
dance-twirl,70,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00070,27.331754056642783,0.8286086916923523,0.985139012336731,0.21999713778495789
dance-twirl,71,uniform_gap8,stage158_residual_recovery,residual::dance-twirl:00071:00064:00072,27.34782169852716,0.8237457275390625,0.9820651412010193,0.23420795798301697
dance-twirl,72,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00072,27.6093815319171,0.833687961101532,0.9854385256767273,0.21070539951324463
